Negative Prob,Positive Prob,Prob Diff,Pred,TrueVal
0.37147898362894116,0.6285210163710588,0.2570420327421177,1.0,1.0
0.06391815212496721,0.9360818478750328,0.8721636957500656,1.0,1.0
0.5850062528385485,0.4149937471614515,0.17001250567709697,-1.0,1.0
0.33181239977093857,0.6681876002290614,0.33637520045812286,1.0,1.0
0.7228678657873346,0.2771321342126654,0.4457357315746692,-1.0,1.0
0.4186347524268551,0.5813652475731449,0.1627304951462898,1.0,1.0
0.8817016021323323,0.11829839786766774,0.7634032042646646,-1.0,1.0
0.7844554179967759,0.21554458200322413,0.5689108359935517,-1.0,1.0
0.48693870680126106,0.5130612931987389,0.026122586397477887,1.0,-1.0
0.6854817836039648,0.3145182163960352,0.3709635672079296,-1.0,-1.0
0.04492063696040394,0.9550793630395961,0.9101587260791921,1.0,1.0
0.089735322195307,0.910264677804693,0.820529355609386,1.0,1.0
