"Index","Open","High","Low","Close","Volume","Open Interest"
2015-07-08,82400,82400,81630,81630,25018,190228
2015-07-09,75230,86050,75230,83600,1040716,168800
2015-07-10,84100,85170,82950,84570,552370,180276
2015-07-13,84040,84170,80600,82250,771510,189886
2015-07-14,84510,85800,83680,84500,831348,186378
2015-07-15,84880,87120,84330,86970,859920,187520
2015-07-16,86850,87240,83630,85430,949108,182376
2015-07-17,84680,85760,84620,85600,589592,182418
2015-07-20,84800,85660,84450,85320,574774,188630
2015-07-21,85480,87950,85260,87870,608876,195552
2015-07-22,87670,87880,84530,85220,737564,183214
2015-07-23,85300,85620,83700,84410,701378,185200
2015-07-24,84190,84880,82900,83360,696550,186720
2015-07-27,83290,84950,82620,82650,631090,188830
2015-07-28,81300,83420,81150,82740,594918,177788
2015-07-29,83300,84770,83110,84330,519938,162950
2015-07-30,83590,84420,82500,82620,564582,170372
2015-07-31,82000,83000,81720,81780,480272,177058
2015-08-03,82200,83180,80160,80340,516712,175340
2015-08-04,80350,81220,79800,81100,441778,160924
2015-08-05,81300,81800,80290,81190,319588,152420
2015-08-06,81500,81640,80500,80780,329536,147734
2015-08-07,80700,81130,79930,80700,364892,148768
2015-08-10,80620,82490,80280,82200,337824,139708
2015-08-11,82190,84300,81980,82370,514684,123886
2015-08-12,81240,82840,80050,82690,506474,116000
2015-08-13,82700,83500,81750,82690,349908,112150
2015-08-14,82300,82630,81400,81570,262984,112550
2015-08-17,81950,82430,81530,82100,195836,105418
2015-08-18,82880,83250,81100,81130,180354,142650
2015-08-19,81090,81950,80620,81860,286466,154028
2015-08-20,81600,81850,79800,80650,379502,176056
2015-08-21,81550,81560,80300,80370,311620,186596
2015-08-24,80000,80100,76800,76800,370194,217706
2015-08-25,74200,76730,73050,73600,648246,232104
2015-08-26,75750,76230,74200,74360,575928,242488
2015-08-27,74300,76200,74100,76160,472478,227150
2015-08-28,76400,78900,76360,78610,624826,204962
2015-08-31,78200,79300,76790,76810,674872,207056
2015-09-01,76460,77370,75800,75810,458718,217478
2015-09-02,76000,76690,75560,76510,475672,209048
2015-09-03,NA,NA,NA,NA,NA,NA
2015-09-04,NA,NA,NA,NA,NA,NA
2015-09-07,76200,77200,76190,77000,293244,209890
2015-09-08,76870,76940,75300,76190,595808,248922
2015-09-09,77090,78870,76730,77790,1253336,237720
2015-09-10,78210,78720,77120,78710,1047802,251158
2015-09-11,79400,80220,78750,79410,1420664,245130
2015-09-14,79100,79900,78230,78260,1062540,240600
2015-09-15,77480,78060,76860,76960,1094660,249360
2015-09-16,77320,79380,77270,78950,1478896,247710
2015-09-17,78800,79330,78300,78590,1678798,251738
2015-09-18,78110,78580,77810,77890,1444806,268762
2015-09-21,77200,78190,76320,78110,1442658,293284
2015-09-22,77790,77970,76940,77090,1253948,293870
2015-09-23,76780,76980,76030,76740,1147082,302684
2015-09-24,76940,77110,76300,76760,779346,304598
2015-09-25,76680,77850,76600,77100,979700,280362
2015-09-28,77300,77800,77220,77410,384820,280330
2015-09-29,77210,77420,75500,75540,646524,280048
2015-09-30,76260,77110,75950,77100,479410,248998
2015-10-01,NA,NA,NA,NA,NA,NA
2015-10-02,NA,NA,NA,NA,NA,NA
2015-10-05,NA,NA,NA,NA,NA,NA
2015-10-06,NA,NA,NA,NA,NA,NA
2015-10-07,NA,NA,NA,NA,NA,NA
2015-10-08,78200,78530,77300,77450,244958,253152
2015-10-09,77510,79470,77360,79450,663132,260084
2015-10-12,81000,81000,79000,80310,786262,244502
2015-10-13,80370,80380,78820,79620,632286,240428
2015-10-14,79300,79880,78970,79270,676222,241670
2015-10-15,79400,80700,79200,80340,875794,286750
2015-10-16,80230,80900,79900,80700,820446,285266
2015-10-19,80280,80650,79110,79500,675768,270082
2015-10-20,79150,79290,78050,78320,673374,252482
2015-10-21,78450,78690,77900,78130,563356,255076
2015-10-22,78100,79600,77710,78660,546592,234838
2015-10-23,78960,80010,78590,79980,669468,248752
2015-10-26,79980,79980,78450,78590,679910,247344
2015-10-27,78720,79280,78270,79150,535496,242420
2015-10-28,79200,79580,78800,79160,562956,236902
2015-10-29,79080,79900,78650,79130,599260,236182
2015-10-30,79000,79350,77130,77150,743688,306602
2015-11-02,77100,77390,76460,76590,598726,335360
2015-11-03,76700,77250,76190,76330,547810,346974
2015-11-04,76200,76680,75720,76510,710650,362628
2015-11-05,76190,76970,74780,74820,754986,406972
2015-11-06,75800,75800,74560,74990,702012,393540
2015-11-09,74800,75200,73760,73990,731148,432832
2015-11-10,74100,74220,72430,73890,741658,431638
2015-11-11,73450,73680,72750,72930,779414,456998
2015-11-12,73000,73750,72550,73290,669322,448788
2015-11-13,72700,73640,72270,72930,846614,466212
2015-11-16,72830,73600,72700,73180,558036,447322
2015-11-17,73350,73350,70530,71240,851516,446728
2015-11-18,71450,71740,70110,70950,666046,445772
2015-11-19,70700,71020,69220,69770,701690,435448
2015-11-20,69600,69790,68500,68740,860638,445614
2015-11-23,69000,69200,64980,64980,837472,446362
2015-11-24,64180,65730,63310,64970,1145120,413958
2015-11-25,64800,68250,64550,68250,1195734,378610
2015-11-26,67900,72780,67360,70800,1870082,367254
2015-11-27,70790,72160,69010,69370,1643298,340084
2015-11-30,68760,69150,67680,69100,1294326,322532
2015-12-01,68900,70350,68680,68970,1226688,313308
2015-12-02,69000,70940,68760,70150,855172,310608
2015-12-03,69600,71130,68130,68150,1109584,296010
2015-12-04,68290,69470,68200,68880,1059082,278502
2015-12-07,70000,70830,69380,70590,775834,268360
2015-12-08,70000,70110,67670,68170,742586,279530
2015-12-09,67900,68440,66930,68170,800558,278940
2015-12-10,68350,69020,67300,67490,789124,270722
2015-12-11,67130,69050,66810,69030,725398,257790
2015-12-14,68630,68970,67800,68750,686612,244534
2015-12-15,68230,69770,68080,68440,623862,225828
2015-12-16,68300,69110,67910,69000,514802,216798
2015-12-17,70330,71100,69750,69820,509990,294056
2015-12-18,69800,70650,69750,70500,523508,315212
2015-12-21,70600,71300,70170,71130,828576,345250
2015-12-22,71010,71710,70600,70840,853816,368860
2015-12-23,70730,70990,69750,70220,779186,392536
2015-12-24,70180,70700,69390,69400,816902,421326
2015-12-25,69400,69780,68970,69130,680852,447046
2015-12-28,69280,69470,68000,68050,623030,477550
2015-12-29,68030,69390,67900,69310,651506,463074
2015-12-30,69030,70690,69020,70070,1002108,443934
2015-12-31,70100,70960,69880,70630,838374,429168
2016-01-01,NA,NA,NA,NA,NA,NA
2016-01-04,70810,70960,68560,68930,577174,428358
2016-01-05,69200,69610,68500,69510,765810,424542
2016-01-06,69380,69750,68360,68820,773858,437426
2016-01-07,69000,69410,67340,67480,911372,484406
2016-01-08,67460,68550,66510,67920,1222618,459614
2016-01-11,67910,68660,66780,67000,986604,475302
2016-01-12,67280,67630,65820,65950,1033860,497478
2016-01-13,66010,66680,65940,66220,814236,504624
2016-01-14,66220,68070,66050,67360,924800,473274
2016-01-15,67370,69350,67260,68190,1061426,441794
2016-01-18,67820,69620,67700,69320,1076330,449514
2016-01-19,69310,70300,68720,70130,977974,440862
2016-01-20,70010,70290,68850,69470,925226,437800
2016-01-21,69450,70000,68910,69250,1032314,427960
2016-01-22,69350,70780,69260,70160,1091160,432032
2016-01-25,70770,70930,69130,69360,754402,426650
2016-01-26,69400,69560,68750,69130,744666,429578
2016-01-27,69350,70590,69350,70520,820568,443768
2016-01-28,70440,70570,69550,69730,683710,442112
2016-01-29,69600,70220,69300,69590,727910,438022
2016-02-01,69420,70200,68500,68950,779094,460126
2016-02-02,68820,69240,68560,69010,580890,441838
2016-02-03,69050,69150,67960,68880,640464,436748
2016-02-04,68780,69780,68720,69340,583156,421032
2016-02-05,69360,69750,68500,68740,494356,407420
2016-02-08,NA,NA,NA,NA,NA,NA
2016-02-09,NA,NA,NA,NA,NA,NA
2016-02-10,NA,NA,NA,NA,NA,NA
2016-02-11,NA,NA,NA,NA,NA,NA
2016-02-12,NA,NA,NA,NA,NA,NA
2016-02-15,64950,66600,64280,66320,399620,429914
2016-02-16,66010,67080,66010,66660,600702,446270
2016-02-17,66860,66890,66060,66400,557778,438520
2016-02-18,66600,67180,66430,66680,459810,433320
2016-02-19,66790,67350,66600,67120,570678,434012
2016-02-22,67150,69050,67010,68730,740480,444796
2016-02-23,69060,69560,68510,68700,590896,424384
2016-02-24,69100,69120,68140,68550,520200,427820
2016-02-25,68350,68990,67560,67810,657020,451180
2016-02-26,67960,67990,66370,67290,668722,439272
2016-02-29,67500,68300,66550,67020,802790,447552
2016-03-01,67220,67910,66690,67800,703738,446398
2016-03-02,68000,69040,67830,68950,783972,431708
2016-03-03,69210,69540,68600,69400,688900,420924
2016-03-04,69550,72390,69320,71350,1203738,456092
2016-03-07,71340,74450,71200,73310,1495566,486106
2016-03-08,73860,75840,70060,71670,1825344,441868
2016-03-09,71900,71980,68680,69280,1182210,392578
2016-03-10,69600,70510,68750,68930,1229092,410358
2016-03-11,69100,69960,68510,69450,816682,399338
2016-03-14,69260,70370,68900,69310,743622,403324
2016-03-15,69030,69230,67730,68330,750548,394890
2016-03-16,67880,68350,67570,68100,624272,415204
2016-03-17,67640,68990,67590,68540,690320,422824
2016-03-18,68500,70440,68410,69860,1136578,422862
2016-03-21,69750,70060,67780,68090,840560,439046
2016-03-22,68200,69350,68170,68450,821964,434656
