,Open,High,Low,Close,Volume,Open Interest
2008-05-08,22285.0,22540.0,22055.0,22370.0,236064.0,89406.0
2008-05-09,22400.0,22520.0,22315.0,22445.0,276570.0,92404.0
2008-05-12,22530.0,23315.0,22520.0,23315.0,166860.0,104636.0
2008-05-13,23400.0,23700.0,23360.0,23565.0,171212.0,102230.0
2008-05-14,23680.0,24130.0,23400.0,23995.0,265852.0,104176.0
2008-05-15,23900.0,24045.0,23740.0,23980.0,349748.0,108884.0
2008-05-16,24010.0,24850.0,24000.0,24610.0,252544.0,101588.0
2008-05-19,24825.0,24885.0,23650.0,23700.0,331896.0,77978.0
2008-05-20,23700.0,23950.0,23515.0,23830.0,437880.0,81866.0
2008-05-21,23900.0,24230.0,23420.0,23655.0,338600.0,81692.0
2008-05-22,23885.0,24050.0,23700.0,23950.0,532002.0,85420.0
2008-05-23,23710.0,24840.0,23620.0,24840.0,403116.0,126794.0
2008-05-26,25575.0,25695.0,25535.0,25695.0,611742.0,126908.0
2008-05-27,26890.0,27080.0,25985.0,26325.0,9876.0,106312.0
2008-05-28,26030.0,26745.0,25890.0,26250.0,812614.0,114548.0
2008-05-29,26285.0,26570.0,26055.0,26225.0,730344.0,116272.0
2008-05-30,25755.0,25780.0,25240.0,25240.0,557716.0,98370.0
2008-06-02,25240.0,25410.0,24550.0,24635.0,331216.0,91802.0
2008-06-03,24850.0,25390.0,24705.0,24945.0,470952.0,96340.0
2008-06-04,24700.0,24800.0,24260.0,24350.0,711546.0,99912.0
2008-06-05,24260.0,24945.0,24235.0,24620.0,488552.0,101800.0
2008-06-06,25100.0,25355.0,24850.0,24950.0,696742.0,97824.0
2008-06-09,,,,,,
2008-06-10,25120.0,25565.0,24980.0,25435.0,,108826.0
2008-06-11,25300.0,26300.0,25285.0,26300.0,542786.0,124354.0
2008-06-12,26795.0,26795.0,26260.0,26415.0,672380.0,115430.0
2008-06-13,26300.0,26640.0,25880.0,26230.0,430300.0,109148.0
2008-06-16,26405.0,27305.0,25985.0,27020.0,562220.0,126876.0
2008-06-17,27000.0,27420.0,26750.0,27110.0,785108.0,127270.0
2008-06-18,27000.0,27220.0,26600.0,26705.0,695386.0,127146.0
2008-06-19,26850.0,27130.0,26550.0,26810.0,583086.0,124456.0
2008-06-20,26330.0,26670.0,26020.0,26490.0,508882.0,132396.0
2008-06-23,26790.0,27435.0,26790.0,27435.0,539546.0,141718.0
2008-06-24,27720.0,28155.0,27450.0,27635.0,105980.0,150916.0
2008-06-25,27500.0,28245.0,27450.0,28195.0,716668.0,160080.0
2008-06-26,28250.0,28380.0,27605.0,27685.0,565162.0,142846.0
2008-06-27,28450.0,28495.0,27680.0,27800.0,568136.0,132738.0
2008-06-30,27995.0,28190.0,27550.0,27805.0,576238.0,130462.0
2008-07-01,27750.0,27800.0,27500.0,27725.0,491786.0,135388.0
2008-07-02,27930.0,28100.0,27805.0,28035.0,439038.0,135974.0
2008-07-03,28110.0,28195.0,26805.0,26805.0,350690.0,124418.0
2008-07-04,27045.0,27385.0,26655.0,27250.0,579838.0,130818.0
2008-07-07,27020.0,27560.0,26580.0,27395.0,516130.0,152048.0
2008-07-08,27125.0,27490.0,26780.0,27120.0,588794.0,142328.0
2008-07-09,26610.0,26890.0,26500.0,26795.0,636196.0,141956.0
2008-07-10,26900.0,27045.0,26680.0,26770.0,513708.0,141546.0
2008-07-11,27300.0,27865.0,27075.0,27790.0,305908.0,140420.0
2008-07-14,27600.0,27775.0,27370.0,27510.0,376552.0,119964.0
2008-07-15,27480.0,27510.0,27065.0,27150.0,227142.0,106400.0
2008-07-16,26500.0,26665.0,26280.0,26630.0,206552.0,91632.0
2008-07-17,26630.0,27080.0,26630.0,26970.0,192924.0,96526.0
2008-07-18,26820.0,26990.0,26650.0,26930.0,128420.0,97310.0
2008-07-21,27000.0,27350.0,26870.0,27245.0,120510.0,98340.0
2008-07-22,27200.0,27450.0,26535.0,27090.0,109104.0,96810.0
2008-07-23,26960.0,26990.0,26580.0,26855.0,168742.0,94292.0
2008-07-24,26605.0,27190.0,26605.0,27150.0,115760.0,93848.0
2008-07-25,27100.0,27565.0,27100.0,27440.0,82188.0,90524.0
2008-07-28,27500.0,27615.0,27325.0,27470.0,65958.0,88494.0
2008-07-29,27570.0,27975.0,27500.0,27805.0,46274.0,89774.0
2008-07-30,27710.0,28160.0,27710.0,28090.0,77196.0,84282.0
2008-07-31,28330.0,28530.0,27850.0,28035.0,59372.0,76156.0
2008-08-01,27875.0,27950.0,27410.0,27780.0,88172.0,71214.0
2008-08-04,27580.0,27890.0,27520.0,27755.0,44438.0,66828.0
2008-08-05,27400.0,27400.0,26610.0,26610.0,31194.0,55554.0
2008-08-06,26500.0,27350.0,26500.0,27315.0,57858.0,56606.0
2008-08-07,27400.0,27450.0,26020.0,26300.0,34276.0,57102.0
2008-08-08,26200.0,26640.0,26080.0,26465.0,66700.0,57388.0
2008-08-11,26040.0,26380.0,25565.0,25930.0,54208.0,60740.0
2008-08-12,25895.0,26445.0,25780.0,26420.0,101138.0,60246.0
2008-08-13,26420.0,26730.0,26060.0,26680.0,58516.0,55646.0
2008-08-14,27050.0,27405.0,26455.0,26890.0,44492.0,52790.0
2008-08-15,26400.0,26680.0,26080.0,26480.0,37562.0,54170.0
2008-08-18,26880.0,26970.0,26110.0,26800.0,48182.0,51826.0
2008-08-19,26585.0,26645.0,26400.0,26545.0,23558.0,49980.0
2008-08-20,21970.0,22280.0,21880.0,22055.0,24966.0,11816.0
2008-08-21,22200.0,22930.0,22135.0,22820.0,20768.0,13882.0
2008-08-22,23300.0,23350.0,22895.0,23110.0,28394.0,13358.0
2008-08-25,22700.0,23150.0,22610.0,23150.0,18910.0,15058.0
2008-08-26,23150.0,23350.0,22490.0,22630.0,18332.0,13070.0
2008-08-27,22855.0,23400.0,22810.0,23390.0,30740.0,16500.0
2008-08-28,23650.0,23650.0,23355.0,23385.0,30464.0,17438.0
2008-08-29,23120.0,23330.0,23000.0,23190.0,29028.0,17406.0
2008-09-01,23150.0,23185.0,22980.0,23135.0,18812.0,17536.0
2008-09-02,22760.0,22760.0,22470.0,22520.0,22646.0,17222.0
2008-09-03,22565.0,22690.0,22515.0,22590.0,22908.0,17114.0
2008-09-04,22650.0,22665.0,22280.0,22635.0,18342.0,17748.0
2008-09-05,22390.0,23200.0,22340.0,22835.0,20370.0,21366.0
2008-09-08,22980.0,23000.0,22460.0,22460.0,51842.0,25048.0
2008-09-09,22300.0,22320.0,21900.0,22140.0,40318.0,26652.0
2008-09-10,21800.0,22310.0,21755.0,22120.0,46896.0,27252.0
2008-09-11,22025.0,22290.0,22000.0,22105.0,45794.0,26928.0
2008-09-12,22300.0,22655.0,22280.0,22500.0,39620.0,28418.0
2008-09-15,,,,,,
2008-09-16,21780.0,21800.0,21480.0,21480.0,,31908.0
2008-09-17,21505.0,21580.0,20390.0,20795.0,38244.0,44814.0
2008-09-18,21120.0,21175.0,20180.0,20245.0,228584.0,54418.0
2008-09-19,20410.0,20685.0,20020.0,20460.0,377778.0,60042.0
2008-09-22,20750.0,20935.0,20450.0,20800.0,462100.0,63344.0
2008-09-23,21050.0,21050.0,20585.0,20585.0,485120.0,68902.0
2008-09-24,20400.0,20400.0,19950.0,20040.0,400446.0,72538.0
2008-09-25,19695.0,20020.0,19560.0,19830.0,259498.0,66476.0
2008-09-26,19390.0,19515.0,19020.0,19020.0,423256.0,71082.0
2008-09-29,,,,,,
2008-09-30,,,,,,
2008-10-01,,,,,,
2008-10-02,,,,,,
2008-10-03,,,,,,
2008-10-06,18135.0,18135.0,18135.0,18135.0,,71000.0
2008-10-07,17045.0,17045.0,17045.0,17045.0,450.0,68568.0
2008-10-08,,,,,4976.0,68568.0
2008-10-09,,,,,584.0,560.0
2008-10-10,,,,,,
2008-10-13,14450.0,14960.0,14450.0,14460.0,1678.0,49916.0
2008-10-14,15140.0,15180.0,14250.0,14300.0,275330.0,66974.0
2008-10-15,14025.0,14025.0,14025.0,14025.0,494362.0,64928.0
2008-10-16,13180.0,13180.0,13180.0,13180.0,3888.0,63722.0
2008-10-17,12945.0,13750.0,12460.0,13335.0,1518.0,62504.0
2008-10-20,13615.0,13615.0,13335.0,13615.0,762468.0,61330.0
2008-10-21,14335.0,14335.0,13140.0,13405.0,84568.0,69582.0
2008-10-22,13110.0,13340.0,12990.0,12990.0,797332.0,75426.0
2008-10-23,12380.0,13120.0,12380.0,13120.0,349172.0,71524.0
2008-10-24,13080.0,13080.0,12540.0,13075.0,393264.0,88876.0
2008-10-27,12950.0,13345.0,12320.0,12560.0,568192.0,88184.0
2008-10-28,13000.0,13265.0,12420.0,13265.0,659820.0,84706.0
2008-10-29,13500.0,13525.0,12820.0,13245.0,628388.0,65368.0
2008-10-30,13700.0,13700.0,13490.0,13700.0,590722.0,64838.0
2008-10-31,13110.0,13650.0,13030.0,13330.0,152800.0,59992.0
2008-11-03,13600.0,13855.0,13460.0,13855.0,529414.0,63256.0
2008-11-04,13800.0,13940.0,13580.0,13865.0,105370.0,57282.0
2008-11-05,14300.0,14300.0,13910.0,13950.0,407526.0,53402.0
2008-11-06,13495.0,13680.0,13495.0,13495.0,278994.0,48442.0
2008-11-07,13070.0,13685.0,13070.0,13640.0,153990.0,48408.0
2008-11-10,13800.0,13920.0,13690.0,13920.0,308080.0,44732.0
2008-11-11,13590.0,13700.0,13145.0,13400.0,110894.0,36676.0
2008-11-12,13235.0,13620.0,13235.0,13545.0,141796.0,32376.0
2008-11-13,13390.0,13615.0,13300.0,13585.0,99958.0,27318.0
2008-11-14,13790.0,13925.0,13610.0,13700.0,86182.0,22178.0
2008-11-17,13660.0,13960.0,13650.0,13825.0,39798.0,20280.0
2008-11-18,13750.0,13935.0,13660.0,13735.0,21064.0,17626.0
2008-11-19,13730.0,13820.0,13400.0,13565.0,14596.0,14778.0
2008-11-20,13105.0,13200.0,13015.0,13015.0,16948.0,14116.0
2008-11-21,12245.0,12480.0,12245.0,12245.0,5282.0,13124.0
2008-11-24,12350.0,12650.0,12240.0,12380.0,11956.0,11890.0
2008-11-25,12780.0,12790.0,12410.0,12615.0,18910.0,10918.0
2008-11-26,11200.0,11550.0,11095.0,11210.0,7806.0,6692.0
2008-11-27,11400.0,11465.0,11005.0,11010.0,10238.0,7180.0
2008-11-28,11100.0,11100.0,10800.0,10815.0,9558.0,6718.0
2008-12-01,10520.0,10685.0,10440.0,10645.0,5726.0,7562.0
2008-12-02,10160.0,10305.0,10160.0,10160.0,6030.0,8288.0
2008-12-03,10100.0,10200.0,9900.0,9955.0,4706.0,9446.0
2008-12-04,9885.0,9940.0,9630.0,9630.0,11028.0,11184.0
2008-12-05,9140.0,9140.0,9140.0,9140.0,7440.0,10988.0
2008-12-08,8900.0,9540.0,8715.0,9390.0,892.0,15700.0
2008-12-09,9305.0,9355.0,8990.0,9060.0,39758.0,18448.0
2008-12-10,9110.0,9510.0,9105.0,9510.0,30498.0,27546.0
2008-12-11,9315.0,9570.0,9160.0,9350.0,43156.0,33674.0
2008-12-12,9355.0,9505.0,8980.0,8980.0,79142.0,47332.0
2008-12-15,9270.0,9715.0,9220.0,9650.0,105684.0,70048.0
2008-12-16,9580.0,9700.0,9250.0,9660.0,330688.0,66534.0
2008-12-17,9710.0,9880.0,9680.0,9880.0,526798.0,71708.0
2008-12-18,9800.0,9880.0,9400.0,9650.0,174506.0,84690.0
2008-12-19,9755.0,9930.0,9660.0,9880.0,575734.0,82736.0
2008-12-22,10025.0,10185.0,10025.0,10185.0,566190.0,83128.0
2008-12-23,10260.0,10380.0,10030.0,10285.0,14734.0,97290.0
2008-12-24,10185.0,10240.0,9885.0,10040.0,681060.0,97914.0
2008-12-25,9750.0,9935.0,9690.0,9745.0,656934.0,105512.0
2008-12-26,9895.0,10220.0,9790.0,10220.0,511828.0,122528.0
2008-12-29,10605.0,10605.0,10390.0,10600.0,636524.0,107868.0
2008-12-30,10575.0,10710.0,10385.0,10670.0,396678.0,124650.0
2008-12-31,10800.0,10960.0,10690.0,10960.0,724978.0,134156.0
2009-01-01,,,,,,
2009-01-02,,,,,,
2009-01-05,11455.0,11455.0,11455.0,11455.0,,131496.0
2009-01-06,11940.0,12140.0,11780.0,12140.0,3994.0,115384.0
2009-01-07,,,,,199040.0,115384.0
2009-01-08,11900.0,12405.0,11570.0,12030.0,,94532.0
2009-01-09,12105.0,12540.0,11905.0,12400.0,116195.0,86640.0
2009-01-12,12335.0,12680.0,12130.0,12345.0,869548.0,97624.0
2009-01-13,11960.0,12450.0,11900.0,12200.0,881384.0,107176.0
2009-01-14,12410.0,12800.0,12350.0,12770.0,932804.0,98760.0
2009-01-15,12600.0,12705.0,12375.0,12440.0,791304.0,94018.0
2009-01-16,12580.0,12950.0,12480.0,12715.0,785296.0,81066.0
2009-01-19,12770.0,12780.0,12565.0,12725.0,771312.0,83644.0
2009-01-20,12640.0,13095.0,12610.0,13070.0,524152.0,96402.0
2009-01-21,13100.0,13250.0,12965.0,13000.0,660160.0,84024.0
2009-01-22,13100.0,13145.0,12460.0,12825.0,581512.0,83410.0
2009-01-23,12780.0,12845.0,12350.0,12650.0,565572.0,74220.0
2009-01-26,,,,,,
2009-01-27,,,,,,
2009-01-28,,,,,,
2009-01-29,,,,,,
2009-01-30,,,,,,
2009-02-02,12640.0,12835.0,12460.0,12530.0,,83594.0
2009-02-03,12405.0,13140.0,12405.0,13035.0,411170.0,104362.0
2009-02-04,13095.0,13405.0,13020.0,13405.0,676750.0,103252.0
2009-02-05,13485.0,13500.0,13095.0,13160.0,304824.0,98124.0
2009-02-06,13255.0,13690.0,13180.0,13505.0,625628.0,112656.0
2009-02-09,13535.0,13865.0,13505.0,13780.0,818470.0,129240.0
2009-02-10,13700.0,13860.0,13550.0,13770.0,608528.0,131202.0
2009-02-11,13510.0,13825.0,13080.0,13430.0,807884.0,140734.0
2009-02-12,13500.0,13605.0,13200.0,13420.0,685736.0,128886.0
2009-02-13,13455.0,14030.0,13450.0,13835.0,645768.0,131020.0
2009-02-16,13800.0,14100.0,13430.0,13470.0,750468.0,149090.0
2009-02-17,13570.0,14035.0,13525.0,13885.0,851346.0,168756.0
2009-02-18,13610.0,13690.0,13115.0,13345.0,995994.0,171736.0
2009-02-19,13450.0,13500.0,12695.0,12695.0,561282.0,150232.0
2009-02-20,12600.0,13065.0,12480.0,12815.0,851422.0,139148.0
2009-02-23,12830.0,13250.0,12710.0,13110.0,712214.0,123514.0
2009-02-24,12900.0,12965.0,12355.0,12590.0,514504.0,107140.0
2009-02-25,13000.0,13100.0,12800.0,12860.0,335536.0,92662.0
