"Index","Open","High","Low","Close","Volume","Open Interest"
2015-06-12,114420,114700,113520,113700,3152,4014
2015-06-15,113410,113660,112810,113160,1276,3794
2015-06-16,111720,112650,111700,111780,1166,3668
2015-06-17,111990,112230,111210,111730,1016,3574
2015-06-18,112290,112600,111820,112510,768,3462
2015-06-19,113010,114450,112470,113770,1368,3422
2015-06-22,NA,NA,NA,NA,NA,NA
2015-06-23,113360,114330,113360,114100,644,3304
2015-06-24,113540,114150,112500,113180,988,3194
2015-06-25,112820,113300,109470,111460,1352,3092
2015-06-26,111280,111920,109800,110540,1700,2948
2015-06-29,112160,112700,110720,111320,1550,1996
2015-06-30,109710,111150,107390,107530,2832,2534
2015-07-01,107300,108680,106240,108260,2858,2930
2015-07-02,109800,109990,108560,109700,2598,2810
2015-07-03,110370,111140,109390,110000,2348,2900
2015-07-06,107960,109850,106510,107090,2102,2884
2015-07-07,108500,109190,106800,107080,2356,2794
2015-07-08,106000,106430,103710,103710,3870,2882
2015-07-09,104670,110020,104010,107800,3426,2426
2015-07-10,108200,110440,106580,107840,3844,2666
2015-07-13,107750,108500,106900,107530,2170,2586
2015-07-14,108000,110490,108000,108800,2830,2336
2015-07-15,109030,110300,108270,109690,2168,2256
2015-07-16,109880,110220,108120,109350,1928,2220
2015-07-17,109520,110790,109320,110490,2288,2314
2015-07-20,112400,112490,111100,111530,6298,2316
2015-07-21,111860,111860,110790,111000,3266,2140
2015-07-22,110780,111190,108560,108800,2200,2098
2015-07-23,108250,108940,108060,108940,1550,2130
2015-07-24,109200,109490,108120,108210,1462,2078
2015-07-27,108280,111400,107030,108170,3556,2084
2015-07-28,108400,109940,107920,109820,1906,2068
2015-07-29,110980,112360,110800,111770,3144,2024
2015-07-30,111260,111780,110120,110180,2828,1958
2015-07-31,109600,111140,109280,109960,1278,1960
2015-08-03,110440,111370,108720,108720,1688,1906
2015-08-04,107800,108860,107500,108750,1578,1744
2015-08-05,108900,109190,106900,107490,1078,1792
2015-08-06,107500,108480,106390,107350,1482,1736
2015-08-07,107600,108080,106790,107410,810,1680
2015-08-10,107100,107960,106510,107810,816,1590
2015-08-11,107400,111350,107260,108490,1200,1506
2015-08-12,108100,108620,107070,108400,1104,1536
2015-08-13,108620,109320,107500,107790,1550,1476
2015-08-14,107620,108210,107200,107200,610,1458
2015-08-17,109200,109200,107060,107390,950,1512
2015-08-18,107330,107770,106800,107160,562,1526
2015-08-19,106710,107360,106550,107280,760,1364
2015-08-20,107560,108680,106680,106940,576,1280
2015-08-21,107100,107450,105310,105380,712,1288
2015-08-24,104000,105790,101980,101980,1358,1264
2015-08-25,100050,101580,100010,100760,782,1196
2015-08-26,100710,102040,100210,100210,566,1104
2015-08-27,99580,100460,98210,100110,478,1060
2015-08-28,100090,102980,99610,101000,1190,1028
2015-08-31,101000,102090,99210,99500,690,916
2015-09-01,100490,100500,99510,99820,76,880
2015-09-02,102750,102860,101380,101540,238,404
2015-09-03,NA,NA,NA,NA,NA,NA
2015-09-04,NA,NA,NA,NA,NA,NA
2015-09-07,101280,101880,101280,101680,122,380
2015-09-08,100580,101500,99640,101500,108,494
2015-09-09,102050,104010,101630,102140,576,406
2015-09-10,102900,103250,101700,102500,754,546
2015-09-11,103020,103460,102910,103030,1060,856
2015-09-14,103180,103760,102030,102120,574,830
2015-09-15,102170,102520,101160,101460,432,868
2015-09-16,102150,102400,101560,102190,296,864
2015-09-17,102480,102480,101830,101850,196,870
2015-09-18,101040,101800,101040,101300,328,762
2015-09-21,101310,101310,99520,100550,630,788
2015-09-22,100500,100500,99050,99050,454,776
2015-09-23,99080,99080,97080,98800,544,776
2015-09-24,98500,99570,98090,98740,304,798
2015-09-25,99390,99690,98410,98980,354,764
2015-09-28,99070,99070,97220,97400,466,876
2015-09-29,97050,97520,96220,97100,696,968
2015-09-30,97390,98080,97010,97100,498,1054
2015-10-01,NA,NA,NA,NA,NA,NA
2015-10-02,NA,NA,NA,NA,NA,NA
2015-10-05,NA,NA,NA,NA,NA,NA
2015-10-06,NA,NA,NA,NA,NA,NA
2015-10-07,NA,NA,NA,NA,NA,NA
2015-10-08,97960,99990,97610,98130,352,1050
2015-10-09,98100,99280,97170,99100,1146,1236
2015-10-12,100500,100500,98460,99010,706,1364
2015-10-13,99110,99700,98400,98560,1414,1686
2015-10-14,98210,98700,97290,97510,1070,1896
2015-10-15,97860,101000,97620,99600,2736,2616
2015-10-16,99700,100230,97250,101960,2108,2448
2015-10-19,98410,99320,97280,101050,1976,2332
2015-10-20,97910,98500,97680,98190,788,2442
2015-10-21,98570,99200,98310,98420,2036,2762
2015-10-22,98070,98880,97840,98500,1110,2734
2015-10-23,98400,98680,97500,98490,1914,2680
2015-10-26,98980,99090,97280,97450,2398,2678
2015-10-27,96990,97800,96330,97200,2664,2822
2015-10-28,96900,97470,94700,95070,2088,3134
2015-10-29,94670,95900,94350,94530,4442,3520
2015-10-30,94000,94360,92680,93350,5608,4010
2015-11-02,93060,93920,93040,93610,2946,3688
2015-11-03,93600,94440,93210,93220,1218,3372
2015-11-04,93210,93510,92610,93010,1502,3386
2015-11-05,93010,93850,92800,93210,2090,3262
2015-11-06,93020,93020,91100,91760,3454,3416
2015-11-09,91890,92150,91280,91560,2466,3300
2015-11-10,91440,91580,89820,90770,2568,3296
2015-11-11,90710,90990,89810,90040,2654,3532
2015-11-12,90000,91490,90000,90880,2260,3692
2015-11-13,90000,90850,89550,89850,2776,3610
2015-11-16,90190,90460,89700,89700,1710,3548
2015-11-17,90480,90490,88020,88600,2836,3448
2015-11-18,88660,89280,87540,88000,3416,3878
2015-11-19,88000,88150,85210,85640,5340,4244
2015-11-20,85050,85610,83640,85120,7442,4056
2015-11-23,85310,85490,81230,81350,6700,3920
2015-11-24,81480,81950,80000,81260,8838,3870
2015-11-25,80800,83780,80500,83320,7450,3542
2015-11-26,82890,85910,82110,84230,8380,3588
2015-11-27,84990,87060,84520,84770,10582,3778
2015-11-30,84920,85470,84000,84840,5504,4058
2015-12-01,84710,85800,84620,85260,3288,3938
2015-12-02,85780,86800,85060,85710,2334,4070
2015-12-03,85660,85980,83030,84080,3302,4496
2015-12-04,83450,84500,83450,83760,1414,4414
2015-12-07,84460,85800,84030,85760,1746,4522
2015-12-08,85030,85390,83600,84450,1566,4294
2015-12-09,84450,84970,83600,84430,1472,4160
2015-12-10,84700,85250,84310,84750,1234,4074
2015-12-11,84520,86680,84480,86520,1240,4162
2015-12-14,86280,89240,86280,88760,3352,4226
2015-12-15,88850,89510,88280,88820,2568,3942
2015-12-16,88570,89490,88260,89380,1272,3820
2015-12-17,89850,92440,89400,91420,2426,3762
2015-12-18,91590,94160,91380,94160,3668,3760
2015-12-21,95300,97790,95000,97600,6526,3672
2015-12-22,97430,98580,96020,96670,17050,4462
2015-12-23,96090,96850,93800,94200,19194,4082
2015-12-24,94280,95060,93430,93780,17184,4774
2015-12-25,93470,94040,93240,93630,10156,4720
2015-12-28,93650,93910,91560,91720,9530,5398
2015-12-29,91520,92720,91050,92600,14662,5894
2015-12-30,92800,94840,92800,93910,16860,5680
2015-12-31,93790,94210,92400,93370,17454,5502
2016-01-01,NA,NA,NA,NA,NA,NA
2016-01-04,92680,93790,91430,91710,7628,5476
2016-01-05,91640,93250,91280,93000,12748,5546
2016-01-06,92430,93150,92100,92720,10368,5670
2016-01-07,91880,93130,91590,91700,12942,5600
2016-01-08,91500,92880,90110,92630,15172,6036
2016-01-11,92400,93690,92400,93000,14282,6638
2016-01-12,93100,94100,92000,92450,15264,6624
2016-01-13,92510,92960,91510,92600,17358,7348
2016-01-14,92560,93630,91790,93190,13682,6442
2016-01-15,93110,94460,92710,93090,13236,6694
2016-01-18,92880,95500,92300,95060,17032,6892
2016-01-19,95180,95360,94400,94790,12976,6880
2016-01-20,94950,94950,93500,93940,11544,5902
2016-01-21,94110,95680,94110,95240,20734,6410
2016-01-22,95410,96400,95220,96150,15416,6638
2016-01-25,96300,99700,96300,97730,20878,7512
2016-01-26,97650,97970,96800,97700,16062,7890
2016-01-27,98050,100470,98050,100380,33510,9646
2016-01-28,100720,100990,100040,100260,29174,10584
2016-01-29,99600,99890,97690,98280,39550,8838
2016-02-01,1e+05,100280,97850,98440,39834,8524
2016-02-02,98740,99190,98410,98970,21844,8142
2016-02-03,99220,99440,97940,98700,19434,7628
2016-02-04,98610,99990,98370,99790,16544,7162
2016-02-05,1e+05,100450,98600,99430,11934,6146
2016-02-08,NA,NA,NA,NA,NA,NA
2016-02-09,NA,NA,NA,NA,NA,NA
2016-02-10,NA,NA,NA,NA,NA,NA
2016-02-11,NA,NA,NA,NA,NA,NA
2016-02-12,NA,NA,NA,NA,NA,NA
2016-02-15,98000,100300,97030,99930,6436,6948
2016-02-16,99410,100180,99000,99190,12660,7630
2016-02-17,99250,99540,98190,98750,10220,7912
2016-02-18,99990,99990,98580,99340,11414,8182
2016-02-19,99430,100290,98910,100250,13440,9324
2016-02-22,100260,103500,99800,103290,24958,11912
2016-02-23,103700,105680,103410,105540,51802,17678
2016-02-24,105980,106300,104800,105160,54618,17834
2016-02-25,105540,106270,104860,105180,44526,17282
2016-02-26,105490,105500,102260,103950,48600,14698
2016-02-29,104200,105380,102910,103640,51306,14542
2016-03-01,104010,104680,103190,104100,31750,14358
2016-03-02,104630,105020,103870,104710,32300,14214
2016-03-03,104800,108540,104700,108540,74098,20080
2016-03-04,109560,113940,108660,111600,79394,16778
2016-03-07,112800,114690,111810,112890,82964,16924
2016-03-08,113830,117600,111120,114540,117778,17350
2016-03-09,114000,114200,110040,110110,76510,16070
2016-03-10,110330,112650,108060,109000,96310,15506
2016-03-11,109300,111020,107610,109950,70792,15700
2016-03-14,111000,111000,109250,109880,52784,15370
2016-03-15,109800,110560,108280,108720,50468,15650
2016-03-16,108050,109660,108000,109500,41980,15874
2016-03-17,109350,110470,109200,110000,34100,15436
2016-03-18,110300,113780,109800,112860,61924,16072
2016-03-21,112510,112980,108000,109400,55704,14648
2016-03-22,109860,110480,108900,108990,41924,14984
2016-03-23,109200,110500,108300,109040,45664,14570
2016-03-24,109530,110690,109030,110270,71278,16238
2016-03-25,110680,112090,110390,112020,57208,17928
2016-03-28,111990,112880,108210,108600,40490,16618
2016-03-29,108600,109780,108000,108470,41094,16804
2016-03-30,108770,109280,105060,105090,67674,18888
2016-03-31,105210,105870,103010,103490,69430,19814
2016-04-01,102810,105620,102700,104830,50800,16994
2016-04-04,NA,NA,NA,NA,NA,NA
2016-04-05,103320,105670,103300,105360,18524,16490
2016-04-06,104710,106150,104710,106040,27906,15694
2016-04-07,106130,107400,105990,107080,24902,15938
2016-04-08,107110,107200,105170,106530,30624,15532
2016-04-11,106520,110480,106510,109060,31106,14150
2016-04-12,108960,109770,107230,108440,22846,14058
2016-04-13,108730,112560,108730,110660,30058,13528
2016-04-14,110810,113550,110100,112120,35104,13302
2016-04-15,113960,113960,110540,111570,19584,13428
2016-04-18,111580,111890,109660,110180,20774,13586
2016-04-19,110230,112000,110010,111470,19212,12880
2016-04-20,111610,112950,110490,111440,19258,12716
2016-04-21,112370,114600,110790,114400,20964,12988
2016-04-22,115480,115960,110000,111460,19430,12180
2016-04-25,111820,113410,108560,109520,16102,11708
2016-04-26,109170,110530,107560,108100,9102,11650
2016-04-27,110000,111280,109430,110100,8192,8692
2016-04-28,110100,110140,108440,108800,9694,9176
2016-04-29,108860,110980,108520,110330,12784,9568
2016-05-02,NA,NA,NA,NA,NA,NA
2016-05-03,110100,112410,109540,112400,9112,9918
2016-05-04,112000,113510,111510,112040,19180,10210
2016-05-05,112300,114380,111600,113480,30476,12388
2016-05-06,113490,114490,110200,111360,41310,10866
2016-05-09,111200,113200,110030,110770,33068,10624
2016-05-10,110500,110960,106630,108930,38566,10510
2016-05-11,108510,109960,107510,109550,26656,10458
2016-05-12,110000,111300,109470,110820,25600,10052
2016-05-13,110490,110650,107110,107500,33972,12194
2016-05-16,107200,108670,106690,107860,22214,11836
2016-05-17,107870,109000,106910,108220,23502,11586
2016-05-18,107900,108630,106540,106580,24366,12468
2016-05-19,106120,107500,105730,106730,22608,12632
2016-05-20,106440,107390,105210,107150,15350,12250
2016-05-23,108190,108190,105500,105930,23870,12360
2016-05-24,104860,106210,104230,105510,19434,12114
2016-05-25,106000,106000,104600,104690,15432,12476
2016-05-26,104800,106600,104500,106500,18336,12030
2016-05-27,106300,108380,105810,108310,20132,11134
2016-05-30,108500,108870,107350,108000,13538,10840
2016-05-31,107510,108980,107510,108650,12918,10220
2016-06-01,108960,108960,106100,106150,19062,10396
2016-06-02,106210,108290,106200,108100,18218,9736
2016-06-03,108100,108270,107030,107540,12176,9940
2016-06-06,108170,109790,108170,109300,17152,9944
2016-06-07,109290,109840,108920,109510,11530,9698
2016-06-08,109630,109690,108440,109270,12394,9606
2016-06-09,NA,NA,NA,NA,NA,NA
2016-06-10,NA,NA,NA,NA,NA,NA
2016-06-13,109860,112000,109830,111570,10064,11152
2016-06-14,112000,112070,110660,111890,11692,11636
2016-06-15,111640,112000,111020,111760,10592,12166
2016-06-16,112080,113270,111140,111440,16132,11558
2016-06-17,111810,113170,111280,112800,11516,12476
2016-06-20,113000,113500,111580,112300,10244,12552
2016-06-21,112320,112340,110660,110920,13082,12162
2016-06-22,110850,111890,110100,111670,9574,12360
2016-06-23,111680,112290,110600,111480,9548,11930
2016-06-24,111860,112890,110300,110600,18052,11492
2016-06-27,111010,113120,110740,112880,14422,12964
2016-06-28,111960,112800,111830,112600,11936,12496
2016-06-29,113100,113450,111010,111630,20096,12188
2016-06-30,112000,113080,111670,112770,14328,12436
2016-07-01,112690,118000,112050,118000,34210,18104
2016-07-04,119000,124000,117000,122770,58638,16964
2016-07-05,124380,125690,117810,120330,61288,15818
2016-07-06,121280,121450,115800,117270,45218,14662
2016-07-07,116800,119500,116030,116920,33606,13898
2016-07-08,117880,117880,113840,114900,24224,12776
2016-07-11,115800,119250,114860,117570,29320,13176
2016-07-12,118080,120500,117370,119840,29438,14454
2016-07-13,120190,122000,118170,119070,46426,14916
2016-07-14,119440,119600,117510,118000,24542,14700
2016-07-15,118110,119840,118110,119730,27224,15270
2016-07-18,120330,120880,117030,117030,25786,15134
