"Index","Open","High","Low","Close","Volume","Open Interest"
2012-05-30,14965,14970,14845,14895,94034,NA
2012-05-31,14795,14845,14700,14795,79814,NA
2012-06-01,14790,14870,14735,14770,104626,NA
2012-06-04,14665,14680,14470,14550,188344,NA
2012-06-05,14655,14740,14630,14685,101394,NA
2012-06-06,14780,14850,14685,14815,101882,NA
2012-06-07,14860,14880,14715,14720,85590,NA
2012-06-08,14750,14775,14685,14710,82958,NA
2012-06-11,14835,14980,14710,14885,94212,NA
2012-06-12,14770,14790,14705,14760,52152,NA
2012-06-13,14805,14850,14735,14820,54614,NA
2012-06-14,14780,14845,14750,14770,55318,NA
2012-06-15,14830,14930,14820,14910,61700,NA
2012-06-18,14980,15130,14910,14980,67080,NA
2012-06-19,14940,14965,14860,14880,43900,NA
2012-06-20,14920,14985,14905,14940,45700,NA
2012-06-21,14790,14790,14630,14640,101878,NA
2012-06-22,NA,NA,NA,NA,NA,NA
2012-06-25,14550,14645,14490,14565,98020,NA
2012-06-26,14570,14620,14255,14315,191762,NA
2012-06-27,14325,14345,14145,14245,271328,NA
2012-06-28,14300,14385,14245,14350,207200,NA
2012-06-29,14330,14720,14315,14585,235074,NA
2012-07-02,14850,14850,14610,14680,144106,NA
2012-07-03,14710,14885,14680,14850,165216,NA
2012-07-04,14890,14915,14765,14830,128814,NA
2012-07-05,14835,14880,14760,14850,90446,NA
2012-07-06,14790,14825,14645,14740,162444,NA
2012-07-09,14645,14785,14630,14695,107420,NA
2012-07-10,14705,14790,14630,14650,89192,NA
2012-07-11,14645,14695,14580,14655,83734,NA
2012-07-12,14700,14720,14550,14645,87864,NA
2012-07-13,14660,14795,14645,14785,90866,NA
2012-07-16,14835,14860,14750,14800,69238,NA
2012-07-17,14850,14945,14755,14800,75790,NA
2012-07-18,14820,14840,14750,14785,44718,NA
2012-07-19,14850,14910,14815,14865,57010,NA
2012-07-20,14890,14895,14625,14715,92206,NA
2012-07-23,14610,14660,14450,14465,152038,NA
2012-07-24,14440,14585,14420,14560,117440,NA
2012-07-25,14460,14520,14370,14380,120934,NA
2012-07-26,14450,14495,14420,14470,68428,NA
2012-07-27,14520,14650,14480,14635,106430,NA
2012-07-30,14710,14720,14605,14630,78804,NA
2012-07-31,14690,14760,14660,14715,83688,NA
2012-08-01,14620,14680,14550,14605,101670,NA
2012-08-02,14510,14590,14510,14570,61924,NA
2012-08-03,14505,14580,14505,14570,71038,NA
2012-08-06,14620,14700,14585,14645,55266,NA
2012-08-07,14680,14680,14615,14640,35548,NA
2012-08-08,14715,14780,14670,14680,62932,NA
2012-08-09,14725,14800,14715,14795,48682,NA
2012-08-10,14745,14790,14520,14640,78996,NA
2012-08-13,14670,14670,14585,14590,36804,NA
2012-08-14,14575,14645,14515,14635,68238,NA
2012-08-15,14650,14665,14580,14625,36110,NA
2012-08-16,14600,14605,14310,14390,249924,NA
2012-08-17,14450,14540,14425,14520,143426,NA
2012-08-20,14515,14520,14360,14415,130400,NA
2012-08-21,14450,14545,14415,14525,94256,NA
2012-08-22,14545,14590,14500,14535,74592,NA
2012-08-23,14625,14695,14605,14680,106068,NA
2012-08-24,14670,14680,14610,14660,63806,NA
2012-08-27,14810,14930,14750,14795,109948,NA
2012-08-28,14740,14760,14670,14735,71414,NA
2012-08-29,14720,14795,14695,14770,88062,NA
2012-08-30,14730,14820,14675,14790,81758,NA
2012-08-31,14705,14725,14635,14685,77410,NA
2012-09-03,14655,14855,14605,14840,102306,NA
2012-09-04,14885,14900,14795,14850,68198,NA
2012-09-05,14810,14850,14770,14795,58716,NA
2012-09-06,14880,14990,14825,14970,120520,NA
2012-09-07,14990,15080,14940,15060,125456,NA
2012-09-10,15310,15460,15305,15395,138590,NA
2012-09-11,15440,15440,15235,15385,117890,NA
2012-09-12,15410,15515,15365,15500,129670,NA
2012-09-13,15465,15485,15265,15305,88520,NA
2012-09-14,15645,15980,15640,15845,135212,NA
2012-09-17,15870,15875,15735,15745,67618,NA
2012-09-18,15625,15730,15595,15675,61056,NA
2012-09-19,15725,15920,15705,15885,91786,NA
2012-09-20,15795,15800,15565,15600,127638,NA
2012-09-21,15700,15765,15640,15730,86234,NA
2012-09-24,15600,15610,15415,15540,106662,NA
2012-09-25,15600,15630,15525,15570,52098,NA
2012-09-26,15550,15750,15530,15620,122686,NA
2012-09-27,15490,15860,15460,15650,99006,NA
2012-09-28,15750,15815,15660,15780,62668,NA
2012-10-01,NA,NA,NA,NA,NA,NA
2012-10-02,NA,NA,NA,NA,NA,NA
2012-10-03,NA,NA,NA,NA,NA,NA
2012-10-04,NA,NA,NA,NA,NA,NA
2012-10-05,NA,NA,NA,NA,NA,NA
2012-10-08,15580,15615,15465,15520,69162,NA
2012-10-09,15545,15645,15515,15575,92768,NA
2012-10-10,15460,15465,15200,15410,106398,NA
2012-10-11,15310,15410,15240,15320,101172,NA
2012-10-12,15315,15395,15255,15275,89910,NA
2012-10-15,15130,15220,15100,15175,84362,NA
2012-10-16,15160,15275,15150,15195,79000,NA
2012-10-17,15190,15215,15065,15120,131366,NA
2012-10-18,15205,15275,15190,15210,75820,NA
2012-10-19,15195,15210,15045,15065,81190,NA
2012-10-22,14960,15005,14900,14965,89030,NA
2012-10-23,14895,14950,14780,14785,106204,NA
2012-10-24,14800,14890,14800,14880,80128,NA
2012-10-25,14885,14920,14830,14860,70686,NA
2012-10-26,14800,14825,14645,14645,90660,NA
2012-10-29,14690,14735,14650,14685,49388,NA
2012-10-30,14660,14730,14600,14680,54082,NA
2012-10-31,14755,14870,14755,14855,80310,NA
2012-11-01,14805,14915,14800,14905,60574,NA
2012-11-02,14935,14960,14840,14875,69072,NA
2012-11-05,14800,14805,14660,14775,85254,NA
2012-11-06,14810,14895,14780,14875,67248,NA
2012-11-07,14960,15025,14925,14995,90118,NA
2012-11-08,14860,14985,14795,14930,65426,NA
2012-11-09,15000,15070,14950,14985,75728,NA
2012-11-12,14920,14950,14825,14870,87610,NA
2012-11-13,14975,15050,14965,14995,112042,NA
2012-11-14,15055,15120,15020,15090,95822,NA
2012-11-15,15050,15150,15020,15110,83748,NA
2012-11-16,15135,15190,15035,15040,97694,NA
2012-11-19,15080,15100,14970,15045,81994,NA
2012-11-20,15115,15150,14990,15000,66202,NA
2012-11-21,14970,15030,14915,14950,104220,NA
2012-11-22,14970,15020,14955,14995,44324,NA
2012-11-23,14980,15070,14935,15045,71362,NA
2012-11-26,15170,15170,15095,15140,83076,NA
2012-11-27,15200,15225,15100,15155,68472,NA
2012-11-28,15170,15180,15090,15095,49148,NA
2012-11-29,15135,15195,15110,15165,56044,NA
2012-11-30,15260,15475,15260,15455,125306,NA
2012-12-03,15500,15625,15490,15515,100330,NA
2012-12-04,15495,15530,15315,15370,115230,NA
2012-12-05,15410,15490,15330,15435,101712,NA
2012-12-06,15430,15470,15320,15360,94982,NA
2012-12-07,15360,15445,15330,15440,97630,NA
2012-12-10,15465,15615,15440,15575,156134,NA
2012-12-11,15660,15685,15520,15535,116554,NA
2012-12-12,15550,15570,15485,15545,78102,NA
2012-12-13,15550,15575,15390,15455,108952,NA
2012-12-14,15420,15560,15410,15555,109940,NA
2012-12-17,15520,15680,15495,15625,119826,NA
2012-12-18,15625,15635,15475,15545,105902,NA
2012-12-19,15505,15535,15420,15460,85758,NA
2012-12-20,15395,15410,15300,15375,95714,NA
2012-12-21,15325,15410,15285,15385,67806,NA
2012-12-24,15400,15570,15385,15490,105056,NA
2012-12-25,15460,15550,15435,15525,55008,NA
2012-12-26,15540,15540,15460,15490,38110,NA
2012-12-27,15525,15600,15505,15585,79586,NA
2012-12-28,15605,15635,15500,15545,66938,NA
2012-12-31,15420,15570,15420,15520,53232,NA
2013-01-01,NA,NA,NA,NA,NA,NA
2013-01-02,NA,NA,NA,NA,NA,NA
2013-01-03,NA,NA,NA,NA,NA,NA
2013-01-04,15600,15725,15590,15635,68676,NA
2013-01-07,15540,15615,15450,15470,93136,NA
2013-01-08,15500,15530,15395,15405,89728,NA
2013-01-09,15405,15470,15400,15415,55604,NA
2013-01-10,15410,15530,15400,15525,71008,NA
2013-01-11,15580,15605,15450,15455,80900,NA
2013-01-14,15410,15495,15330,15455,87892,NA
2013-01-15,15365,15405,15165,15175,137296,NA
2013-01-16,15225,15300,15170,15265,80284,NA
2013-01-17,15245,15275,15195,15265,61730,NA
2013-01-18,15370,15430,15355,15420,68160,NA
2013-01-21,15435,15455,15340,15365,47974,NA
2013-01-22,15385,15500,15365,15485,57412,NA
2013-01-23,15540,15560,15470,15545,40616,NA
2013-01-24,15535,15540,15420,15470,51288,NA
2013-01-25,15500,15645,15500,15635,61694,NA
2013-01-28,15690,15745,15645,15680,61420,NA
2013-01-29,15705,15755,15650,15725,63646,NA
2013-01-30,15760,15995,15725,15925,150778,NA
2013-01-31,16035,16170,15960,16150,192320,NA
2013-02-01,16080,16100,15940,16045,153840,NA
2013-02-04,16160,16255,16075,16170,137510,NA
2013-02-05,16100,16135,15960,15985,129222,NA
2013-02-06,16050,16095,15910,15960,91526,NA
2013-02-07,15935,15935,15830,15840,68510,NA
2013-02-08,15835,15980,15805,15870,64844,NA
2013-02-11,NA,NA,NA,NA,NA,NA
2013-02-12,NA,NA,NA,NA,NA,NA
2013-02-13,NA,NA,NA,NA,NA,NA
2013-02-14,NA,NA,NA,NA,NA,NA
2013-02-15,NA,NA,NA,NA,NA,NA
2013-02-18,15880,15900,15750,15750,77714,NA
2013-02-19,15750,15840,15745,15785,59138,NA
2013-02-20,15785,15980,15780,15975,122144,NA
2013-02-21,15855,15875,15525,15640,187662,NA
2013-02-22,15660,15750,15600,15700,66330,NA
2013-02-25,15550,15660,15500,15550,77986,NA
2013-02-26,15550,15635,15455,15540,73640,NA
2013-02-27,15685,15715,15635,15665,59050,NA
2013-02-28,15750,15800,15705,15755,57544,NA
2013-03-01,15650,15650,15510,15545,78930,NA
2013-03-04,15455,15545,15355,15395,90508,NA
2013-03-05,15400,15520,15400,15485,72024,NA
2013-03-06,15465,15500,15335,15370,86466,NA
2013-03-07,15295,15315,15155,15265,134184,NA
2013-03-08,15330,15370,15285,15325,67468,NA
2013-03-11,15265,15285,15180,15220,84466,NA
2013-03-12,15250,15280,15155,15160,86778,NA
2013-03-13,15275,15330,15240,15290,75462,NA
2013-03-14,15260,15295,15175,15280,72178,NA
2013-03-15,15280,15365,15260,15345,73472,NA
2013-03-18,15150,15150,14570,14870,149362,NA
2013-03-19,14900,14930,14815,14850,74068,NA
2013-03-20,14810,14960,14785,14930,66904,NA
2013-03-21,14945,15095,14930,14995,72432,NA
2013-03-22,14960,14975,14890,14950,46026,NA
2013-03-25,15055,15075,15010,15030,43036,NA
2013-03-26,14975,15020,14930,14970,34238,NA
2013-03-27,14870,14915,14820,14835,54426,NA
2013-03-28,14930,14955,14840,14845,40672,NA
2013-03-29,14760,14885,14735,14800,42100,NA
2013-04-01,14775,14775,14645,14660,64440,NA
2013-04-02,14745,14770,14695,14760,52970,NA
2013-04-03,14650,14660,14550,14555,89488,NA
2013-04-04,NA,NA,NA,NA,NA,NA
2013-04-05,NA,NA,NA,NA,NA,NA
2013-04-08,14650,14740,14575,14735,64458,NA
2013-04-09,14775,14895,14765,14890,76790,NA
2013-04-10,14925,14950,14840,14875,51066,NA
2013-04-11,14830,14890,14780,14790,52898,NA
2013-04-12,14820,14845,14760,14785,45786,NA
2013-04-15,14570,14625,14400,14455,114576,NA
2013-04-16,14380,14645,14320,14580,116146,NA
2013-04-17,14675,14680,14550,14570,67726,NA
2013-04-18,14260,14440,14025,14290,216092,NA
2013-04-19,14450,14655,14370,14625,134636,NA
2013-04-22,14620,14670,14500,14515,100988,NA
2013-04-23,14580,14665,14450,14550,129306,NA
2013-04-24,14585,14695,14475,14660,124596,NA
2013-04-25,14745,14780,14675,14735,103040,NA
2013-04-26,14805,14895,14770,14780,97474,NA
2013-04-29,NA,NA,NA,NA,NA,NA
2013-04-30,NA,NA,NA,NA,NA,NA
2013-05-01,NA,NA,NA,NA,NA,NA
2013-05-02,14155,14440,14150,14410,108804,NA
2013-05-03,14380,14515,14335,14475,128168,NA
2013-05-06,14750,14800,14620,14670,104446,NA
2013-05-07,14635,14680,14550,14555,87740,NA
2013-05-08,14590,14675,14565,14675,62804,NA
2013-05-09,14700,14710,14555,14575,68956,NA
2013-05-10,14520,14625,14500,14625,74948,NA
2013-05-13,14560,14620,14540,14575,60226,NA
2013-05-14,14590,14605,14460,14460,57114,NA
2013-05-15,14455,14530,14360,14370,43812,NA
2013-05-16,14385,14465,14345,14400,62248,NA
2013-05-17,14420,14510,14370,14480,68002,NA
2013-05-20,14460,14470,14355,14400,84796,NA
2013-05-21,14510,14530,14435,14490,77112,NA
2013-05-22,14480,14595,14450,14575,64490,NA
2013-05-23,14530,14545,14415,14445,81354,NA
2013-05-24,14500,14595,14480,14570,67682,NA
2013-05-27,14500,14575,14480,14550,52216,NA
2013-05-28,14585,14620,14495,14550,63078,NA
2013-05-29,14565,14620,14510,14520,61668,NA
2013-05-30,14575,14705,14560,14690,149140,NA
2013-05-31,14780,14845,14730,14760,88426,NA
2013-06-03,14890,14915,14810,14880,75282,NA
2013-06-04,14920,14940,14770,14790,92266,NA
2013-06-05,14870,14930,14840,14915,72952,NA
2013-06-06,14865,14885,14810,14845,62118,NA
2013-06-07,14845,14855,14805,14840,41182,NA
2013-06-10,NA,NA,NA,NA,NA,NA
2013-06-11,NA,NA,NA,NA,NA,NA
2013-06-12,NA,NA,NA,NA,NA,NA
2013-06-13,14540,14620,14530,14570,62072,NA
2013-06-14,14515,14550,14480,14525,43296,NA
2013-06-17,14580,14640,14565,14615,24876,NA
2013-06-18,14600,14615,14515,14525,38184,NA
2013-06-19,14540,14560,14530,14560,30970,NA
2013-06-20,14480,14480,14355,14380,68656,NA
2013-06-21,14315,14470,14255,14440,88146,NA
2013-06-24,14435,14440,14260,14280,72218,NA
2013-06-25,14310,14420,14225,14380,80096,NA
2013-06-26,14435,14500,14305,14315,77182,NA
2013-06-27,14370,14440,14330,14420,53890,NA
2013-06-28,14380,14445,14350,14420,48820,NA
2013-07-01,14420,14545,14405,14540,54638,NA
2013-07-02,14580,14645,14550,14640,60204,NA
2013-07-03,14600,14680,14580,14645,51176,NA
2013-07-04,14570,14595,14515,14550,45732,NA
2013-07-05,14520,14550,14470,14480,46480,NA
2013-07-08,14475,14480,14410,14425,47586,NA
2013-07-09,14500,14560,14500,14530,56358,NA
2013-07-10,14515,14585,14470,14560,50226,NA
2013-07-11,14705,14880,14670,14785,103444,NA
2013-07-12,14765,14765,14620,14660,45982,NA
2013-07-15,14680,14720,14660,14690,33194,NA
2013-07-16,14680,14730,14650,14725,27710,NA
2013-07-17,14715,14720,14620,14635,39434,NA
2013-07-18,14580,14585,14515,14530,40966,NA
2013-07-19,14545,14590,14490,14490,31626,NA
2013-07-22,14550,14645,14550,14640,35618,NA
2013-07-23,14640,14680,14615,14630,24884,NA
2013-07-24,14660,14680,14600,14655,29254,NA
2013-07-25,14640,14730,14615,14715,39546,NA
2013-07-26,14680,14680,14600,14615,36182,NA
2013-07-29,14520,14575,14510,14525,38222,NA
2013-07-30,14520,14545,14460,14465,39420,NA
2013-07-31,14430,14510,14405,14485,47576,NA
2013-08-01,14520,14560,14500,14530,37334,NA
2013-08-02,14565,14565,14510,14525,27948,NA
2013-08-05,14575,14620,14555,14615,32858,NA
2013-08-06,14590,14605,14565,14595,21328,NA
2013-08-07,14550,14580,14530,14550,27540,NA
2013-08-08,14560,14665,14560,14650,63764,NA
2013-08-09,14720,14760,14685,14735,52122,NA
2013-08-12,14935,14955,14875,14940,90052,NA
2013-08-13,14950,14950,14860,14910,54332,NA
2013-08-14,14890,14920,14835,14855,47728,NA
2013-08-15,14950,14950,14895,14925,47080,NA
2013-08-16,14970,15265,14970,15205,108662,NA
2013-08-19,15280,15300,15185,15225,68818,NA
2013-08-20,15205,15225,15005,15025,79232,NA
2013-08-21,15080,15120,15045,15095,39440,NA
2013-08-22,15005,15175,14905,15160,60974,NA
2013-08-23,15115,15195,15055,15100,52104,NA
2013-08-26,15285,15285,15180,15210,54760,NA
2013-08-27,15180,15200,15105,15130,48382,NA
2013-08-28,15120,15200,15020,15045,75470,NA
2013-08-29,15005,15015,14930,14965,55432,NA
2013-08-30,14900,14935,14820,14840,59408,NA
2013-09-02,14800,14975,14790,14940,69648,NA
2013-09-03,14935,14940,14840,14870,46648,NA
2013-09-04,14865,14880,14765,14800,42310,NA
2013-09-05,14720,14755,14685,14695,59494,NA
2013-09-06,14710,14760,14670,14750,37210,NA
2013-09-09,14805,14885,14790,14860,40916,NA
2013-09-10,14785,14795,14725,14750,39064,NA
2013-09-11,14720,14780,14720,14750,33982,NA
2013-09-12,14720,14730,14640,14665,34756,NA
2013-09-13,14685,14800,14680,14790,56176,NA
2013-09-16,14760,14775,14650,14655,55116,NA
2013-09-17,14645,14670,14600,14660,35964,NA
2013-09-18,14630,14680,14610,14670,24486,NA
2013-09-19,NA,NA,NA,NA,NA,NA
2013-09-20,NA,NA,NA,NA,NA,NA
2013-09-23,14650,14720,14585,14705,32260,NA
2013-09-24,14760,14775,14710,14725,20996,NA
2013-09-25,14720,14780,14710,14760,24612,NA
2013-09-26,14770,14795,14720,14795,24244,NA
2013-09-27,14780,14800,14735,14765,25074,NA
2013-09-30,14810,14890,14760,14870,26382,NA
2013-10-01,NA,NA,NA,NA,NA,NA
2013-10-02,NA,NA,NA,NA,NA,NA
2013-10-03,NA,NA,NA,NA,NA,NA
2013-10-04,NA,NA,NA,NA,NA,NA
2013-10-07,NA,NA,NA,NA,NA,NA
2013-10-08,14735,14785,14705,14765,28132,NA
2013-10-09,14780,14820,14760,14785,31216,NA
2013-10-10,14750,14850,14730,14845,36180,NA
2013-10-11,14865,14970,14860,14945,74154,NA
2013-10-14,14960,14995,14885,14980,43832,NA
2013-10-15,15025,15030,14915,14945,49856,NA
2013-10-16,14960,14970,14865,14935,47596,NA
2013-10-17,14975,15005,14865,14890,41696,NA
2013-10-18,14930,14985,14930,14950,37274,NA
2013-10-21,14960,15120,14910,15115,92234,NA
2013-10-22,15080,15110,15050,15095,46916,NA
2013-10-23,15150,15160,15040,15040,62016,NA
2013-10-24,15000,15020,14930,15015,40124,NA
2013-10-25,15015,15095,14950,14950,57282,NA
2013-10-28,15030,15100,15020,15070,48040,NA
2013-10-29,15105,15150,15065,15145,53706,NA
2013-10-30,15120,15225,15105,15180,70756,NA
2013-10-31,15160,15160,14560,14990,109874,NA
2013-11-01,14970,15085,14940,15075,27142,NA
2013-11-04,14990,15030,14970,15010,30458,NA
2013-11-05,14990,15005,14965,14980,18908,NA
2013-11-06,14965,15015,14965,14980,20568,NA
2013-11-07,14940,14990,14920,14975,18098,NA
2013-11-08,14930,14950,14930,14950,21340,106932
2013-11-11,14975,14985,14910,14920,20442,106330
2013-11-12,14900,14905,14835,14845,31826,101146
2013-11-13,14825,14835,14755,14755,29122,91238
2013-11-14,14785,14860,14780,14830,29806,91594
2013-11-15,14835,14865,14805,14805,30242,98678
2013-11-18,14840,14880,14830,14865,24056,104014
2013-11-19,14790,14835,14775,14785,31200,112782
2013-11-20,14830,14895,14805,14870,28246,114024
2013-11-21,14845,14845,14790,14820,27890,116042
