,Open,High,Low,Close,Volume,Open Interest
2006-04-17,20650.0,21100.0,20640.0,21020.0,43530.0,87288.0
2006-04-18,21090.0,21210.0,20630.0,20710.0,189820.0,85354.0
2006-04-19,21390.0,21450.0,21190.0,21320.0,137842.0,86616.0
2006-04-20,21080.0,21520.0,21050.0,21510.0,140698.0,92530.0
2006-04-21,21140.0,21250.0,20870.0,20990.0,123090.0,90036.0
2006-04-24,21900.0,21900.0,21660.0,21690.0,200396.0,95788.0
2006-04-25,21500.0,21640.0,21430.0,21590.0,126956.0,92354.0
2006-04-26,21900.0,21980.0,21470.0,21610.0,128962.0,94080.0
2006-04-27,21800.0,21810.0,21520.0,21660.0,179668.0,91456.0
2006-04-28,21160.0,21940.0,20790.0,21470.0,127460.0,86200.0
2006-05-01,,,,,,
2006-05-02,,,,,,
2006-05-03,,,,,,
2006-05-04,,,,,,
2006-05-05,,,,,,
2006-05-08,22080.0,22080.0,21950.0,22080.0,,85740.0
2006-05-09,22140.0,22260.0,21900.0,21970.0,47000.0,87982.0
2006-05-10,22400.0,22900.0,22310.0,22700.0,96984.0,84254.0
2006-05-11,23150.0,23670.0,23120.0,23670.0,147118.0,95302.0
2006-05-12,24730.0,24730.0,23610.0,23990.0,80046.0,99890.0
2006-05-15,24000.0,24830.0,23790.0,24430.0,238668.0,104184.0
2006-05-16,23330.0,23330.0,23330.0,23330.0,309774.0,100730.0
2006-05-17,23510.0,23770.0,22390.0,23000.0,6496.0,99680.0
2006-05-18,22070.0,22380.0,22070.0,22070.0,331310.0,91016.0
2006-05-19,21880.0,22100.0,21660.0,21850.0,53150.0,88012.0
2006-05-22,21010.0,21010.0,21010.0,21010.0,143946.0,86674.0
2006-05-23,20750.0,21200.0,20710.0,21200.0,4212.0,18882.0
2006-05-24,22060.0,22060.0,22060.0,22060.0,170160.0,81506.0
2006-05-25,21410.0,22190.0,21360.0,22020.0,2460.0,36112.0
2006-05-26,21980.0,22240.0,21830.0,21970.0,113176.0,85392.0
2006-05-29,22080.0,22180.0,21830.0,21930.0,203022.0,82850.0
2006-05-30,21940.0,22040.0,21800.0,21930.0,108750.0,79192.0
2006-05-31,21450.0,21490.0,21230.0,21260.0,63578.0,76234.0
2006-06-01,21010.0,21210.0,20500.0,20780.0,62906.0,71664.0
2006-06-02,20780.0,21160.0,20480.0,21080.0,150330.0,67976.0
2006-06-05,21210.0,21450.0,21020.0,21370.0,122948.0,66216.0
2006-06-06,20980.0,21000.0,20790.0,20820.0,68080.0,62734.0
2006-06-07,20700.0,20790.0,20480.0,20700.0,52424.0,60860.0
2006-06-08,21030.0,21090.0,20720.0,20750.0,59142.0,59416.0
2006-06-09,20150.0,20640.0,20150.0,20560.0,38016.0,59204.0
2006-06-12,20500.0,20500.0,20240.0,20350.0,58766.0,56318.0
2006-06-13,20390.0,20500.0,20150.0,20390.0,48870.0,45576.0
2006-06-14,19890.0,19890.0,19520.0,19710.0,101166.0,50436.0
2006-06-15,19950.0,20150.0,19810.0,20030.0,165350.0,50938.0
2006-06-16,20500.0,20610.0,20420.0,20470.0,91258.0,56604.0
2006-06-19,20350.0,20370.0,19700.0,19710.0,70510.0,52616.0
2006-06-20,19340.0,19930.0,19250.0,19860.0,59498.0,53032.0
2006-06-21,19710.0,19920.0,19640.0,19850.0,89570.0,50474.0
2006-06-22,19950.0,20040.0,19850.0,19980.0,68434.0,51538.0
2006-06-23,19710.0,19800.0,19600.0,19720.0,51680.0,49300.0
2006-06-26,19730.0,19830.0,19580.0,19630.0,44152.0,47678.0
2006-06-27,20010.0,20050.0,19710.0,19730.0,36650.0,48212.0
2006-06-28,19480.0,19670.0,19430.0,19640.0,40182.0,47808.0
2006-06-29,19680.0,19680.0,19420.0,19440.0,34230.0,47544.0
2006-06-30,19900.0,19940.0,19750.0,19870.0,31142.0,54328.0
2006-07-03,20000.0,20040.0,19880.0,19910.0,88662.0,55012.0
2006-07-04,19800.0,19940.0,19620.0,19710.0,70106.0,49524.0
2006-07-05,19640.0,19780.0,19580.0,19710.0,39810.0,52428.0
2006-07-06,19400.0,19560.0,19400.0,19510.0,28116.0,51292.0
2006-07-07,19810.0,19870.0,19720.0,19780.0,29918.0,53028.0
2006-07-10,19690.0,19700.0,19510.0,19520.0,34022.0,51892.0
2006-07-11,19510.0,19560.0,19470.0,19510.0,25468.0,52382.0
2006-07-12,19550.0,19610.0,19450.0,19520.0,16552.0,49932.0
2006-07-13,19580.0,19720.0,19470.0,19650.0,25780.0,44012.0
2006-07-14,19690.0,19720.0,19560.0,19620.0,50540.0,54546.0
2006-07-17,19660.0,19680.0,19550.0,19610.0,31830.0,55370.0
2006-07-18,19420.0,19460.0,19380.0,19440.0,15918.0,57074.0
2006-07-19,19380.0,19400.0,18980.0,19110.0,24710.0,56650.0
2006-07-20,19200.0,19230.0,19060.0,19090.0,52046.0,56776.0
2006-07-21,18800.0,18960.0,18620.0,18850.0,25098.0,53608.0
2006-07-24,18740.0,18950.0,18670.0,18890.0,36460.0,54476.0
2006-07-25,18890.0,18940.0,18790.0,18800.0,33266.0,55136.0
2006-07-26,18800.0,18840.0,18470.0,18480.0,22446.0,58764.0
2006-07-27,18510.0,18510.0,18210.0,18430.0,45778.0,56536.0
2006-07-28,18430.0,18490.0,18290.0,18420.0,50528.0,60354.0
2006-07-31,18490.0,18710.0,18420.0,18670.0,26340.0,61924.0
2006-08-01,18700.0,18700.0,18520.0,18630.0,47588.0,58688.0
2006-08-02,18630.0,18740.0,18580.0,18650.0,33862.0,58058.0
2006-08-03,18660.0,19000.0,18630.0,18900.0,18876.0,58060.0
2006-08-04,18640.0,18920.0,18640.0,18810.0,32066.0,56126.0
2006-08-07,18980.0,19220.0,18920.0,18990.0,25644.0,56210.0
2006-08-08,19000.0,19020.0,18860.0,18920.0,42756.0,55644.0
2006-08-09,18910.0,19080.0,18880.0,18920.0,22038.0,55562.0
2006-08-10,19110.0,19150.0,19010.0,19100.0,20902.0,54648.0
