,Open,High,Low,Close,Volume,Open Interest
2007-06-07,66300.0,66510.0,65400.0,65500.0,106134.0,66182.0
2007-06-08,65420.0,65750.0,63960.0,64320.0,113118.0,67714.0
2007-06-11,63450.0,63630.0,62340.0,63420.0,119974.0,62790.0
2007-06-12,64490.0,64650.0,62910.0,62910.0,130652.0,66810.0
2007-06-13,62390.0,62980.0,62150.0,62830.0,129582.0,63476.0
2007-06-14,63470.0,63810.0,62900.0,63420.0,144488.0,61852.0
2007-06-15,64310.0,64400.0,62880.0,63130.0,113090.0,56838.0
2007-06-18,63950.0,64950.0,63850.0,64930.0,120128.0,49204.0
2007-06-19,64600.0,64700.0,63980.0,64480.0,74472.0,58770.0
2007-06-20,64370.0,65000.0,64200.0,64780.0,108054.0,62494.0
2007-06-21,64940.0,64950.0,64580.0,64840.0,103820.0,63130.0
2007-06-22,64500.0,64570.0,64080.0,64260.0,68808.0,67940.0
2007-06-25,64260.0,64430.0,62820.0,63050.0,83280.0,76072.0
2007-06-26,63700.0,63880.0,62380.0,62640.0,108168.0,77522.0
2007-06-27,61640.0,61720.0,60420.0,60440.0,165602.0,83548.0
2007-06-28,61070.0,62560.0,61020.0,62550.0,161892.0,82272.0
2007-06-29,63500.0,64280.0,63050.0,64000.0,208128.0,81594.0
2007-07-02,64000.0,64360.0,63460.0,64270.0,181046.0,79632.0
2007-07-03,65390.0,66430.0,65160.0,66430.0,131138.0,86182.0
2007-07-04,66400.0,66940.0,65460.0,65650.0,126162.0,92812.0
2007-07-05,66540.0,67050.0,65900.0,66190.0,205952.0,98246.0
2007-07-06,66500.0,66580.0,65320.0,65350.0,176334.0,100800.0
2007-07-09,65950.0,66820.0,65730.0,66650.0,155412.0,100538.0
2007-07-10,66950.0,67390.0,66250.0,66410.0,149874.0,102638.0
2007-07-11,65990.0,65990.0,64330.0,64880.0,151254.0,101052.0
2007-07-12,65030.0,65640.0,64280.0,65480.0,181648.0,101124.0
2007-07-13,64000.0,64790.0,63200.0,64500.0,210154.0,92934.0
2007-07-16,64800.0,65200.0,64500.0,64860.0,176708.0,91194.0
2007-07-17,64000.0,64360.0,63810.0,64160.0,108164.0,86064.0
2007-07-18,64000.0,64540.0,63900.0,64470.0,90676.0,82662.0
2007-07-19,65100.0,66040.0,64980.0,65940.0,73714.0,81702.0
2007-07-20,67880.0,68130.0,67560.0,68130.0,89122.0,73082.0
2007-07-23,68970.0,70860.0,68390.0,69700.0,60158.0,59706.0
2007-07-24,68980.0,69000.0,67710.0,67800.0,173296.0,77502.0
2007-07-25,66980.0,67720.0,66810.0,67700.0,188476.0,82478.0
2007-07-26,66800.0,68120.0,66500.0,68060.0,164442.0,86198.0
2007-07-27,67300.0,68300.0,67220.0,67520.0,208470.0,83716.0
2007-07-30,67590.0,68100.0,67320.0,67720.0,203714.0,86462.0
2007-07-31,68700.0,69280.0,68630.0,68940.0,124626.0,91882.0
2007-08-01,69500.0,69700.0,67710.0,67770.0,140748.0,95330.0
2007-08-02,68200.0,68450.0,67450.0,67930.0,171700.0,94150.0
2007-08-03,67650.0,68080.0,67560.0,67950.0,141602.0,93206.0
2007-08-06,65600.0,65980.0,65160.0,65750.0,96058.0,90892.0
2007-08-07,66500.0,66700.0,66220.0,66280.0,126168.0,91490.0
2007-08-08,66850.0,66890.0,66030.0,66080.0,86168.0,92712.0
2007-08-09,65300.0,66310.0,65300.0,66090.0,105054.0,92456.0
2007-08-10,64520.0,64890.0,63880.0,64400.0,123540.0,90432.0
2007-08-13,65250.0,65660.0,65110.0,65510.0,185350.0,88080.0
2007-08-14,65710.0,65820.0,64800.0,65000.0,109182.0,87654.0
2007-08-15,64020.0,64320.0,63940.0,64300.0,116852.0,86996.0
2007-08-16,64010.0,64650.0,63550.0,64400.0,93238.0,84188.0
2007-08-17,61600.0,62180.0,61600.0,61600.0,135824.0,70460.0
2007-08-20,62450.0,63460.0,62250.0,63340.0,68704.0,67772.0
2007-08-21,62830.0,63390.0,62800.0,63020.0,91280.0,60706.0
2007-08-22,62720.0,63080.0,62620.0,63010.0,81950.0,58604.0
2007-08-23,64500.0,65110.0,64250.0,65070.0,73032.0,68470.0
2007-08-24,65190.0,65200.0,64500.0,64510.0,115810.0,69988.0
2007-08-27,66000.0,66110.0,65560.0,65690.0,127394.0,74822.0
2007-08-28,65700.0,65750.0,64800.0,64860.0,94296.0,78386.0
2007-08-29,64060.0,64460.0,63700.0,63930.0,91780.0,81554.0
2007-08-30,65000.0,65280.0,64880.0,65130.0,125052.0,82778.0
2007-08-31,65280.0,65650.0,64980.0,65620.0,105174.0,78408.0
2007-09-03,65700.0,65700.0,64810.0,64910.0,99728.0,80500.0
2007-09-04,64520.0,65270.0,64410.0,64940.0,89124.0,82546.0
