,METFN3 1GQ
2011-03-10,25100.0
2011-03-14,25100.0
2011-03-17,25100.0
2011-03-18,26000.0
2011-03-21,26000.0
2011-03-24,26000.0
2011-03-30,26000.0
2011-03-31,26000.0
2011-04-01,25875.0
2011-04-04,25875.0
2011-04-15,25875.0
2011-04-18,26000.0
2011-04-19,26000.0
2011-04-20,25875.0
2011-04-25,26000.0
2011-05-05,26000.0
2011-05-06,26000.0
2011-05-09,26000.0
2011-05-10,26000.0
2011-05-13,26000.0
2011-05-16,25750.0
2011-05-19,25750.0
2011-05-20,25750.0
2011-05-26,25750.0
2011-05-27,25750.0
2011-06-09,25750.0
2011-06-10,25750.0
2011-06-14,25750.0
2011-06-15,25750.0
2011-06-16,25500.0
2011-06-17,25500.0
2011-06-20,25000.0
2011-06-23,25000.0
2011-06-29,25000.0
2011-06-30,25000.0
2011-07-01,25000.0
2011-07-04,25000.0
2011-07-05,24250.0
2011-07-06,24000.0
2011-07-12,24000.0
2011-07-20,24000.0
2011-07-21,24000.0
2011-07-22,24000.0
2011-07-25,24000.0
2011-07-26,24000.0
2011-07-28,24000.0
2011-08-09,24000.0
2011-08-12,24000.0
2011-08-15,24000.0
2011-08-16,24000.0
2011-08-19,24000.0
2011-08-22,24000.0
2011-08-23,23698.0
2011-08-24,23698.0
2011-08-25,23500.0
2011-08-31,23500.0
2011-09-01,23450.0
2011-09-02,23450.0
2011-09-05,23450.0
2011-09-12,23450.0
2011-09-13,23450.0
2011-09-14,23400.0
2011-09-16,23400.0
2011-09-19,23400.0
2011-09-20,23100.0
2011-09-21,23000.0
2011-09-26,23000.0
2011-09-27,23000.0
2011-09-28,22400.0
2011-09-29,22400.0
2011-09-30,22400.0
2011-10-03,21750.0
2011-10-04,21500.0
2011-10-10,21500.0
2011-10-12,21500.0
2011-10-13,21500.0
2011-10-24,21500.0
2011-10-27,21500.0
2011-10-31,21050.0
2011-11-03,21000.0
2011-11-04,21000.0
2011-11-07,21000.0
2011-11-14,20750.0
2011-11-15,21000.0
2011-11-18,20250.0
2011-11-21,20125.0
2011-11-25,20125.0
2011-11-28,19850.0
2011-12-01,19850.0
2011-12-05,19850.0
2011-12-08,19350.0
2011-12-09,19350.0
2011-12-12,19000.0
2011-12-19,18875.0
2011-12-21,18875.0
2011-12-22,18875.0
2011-12-30,19000.0
2012-01-02,19365.0
2012-01-04,19365.0
2012-01-05,19365.0
2012-01-06,18840.0
2012-01-09,18840.0
2012-01-11,18840.0
2012-01-13,18840.0
2012-01-16,18840.0
2012-01-17,18840.0
2012-01-19,18840.0
2012-01-20,18840.0
2012-01-24,18840.0
2012-01-27,18840.0
2012-01-30,19340.0
2012-01-31,19750.0
2012-02-03,19750.0
2012-02-07,19750.0
2012-02-08,20000.0
2012-02-09,20000.0
2012-02-10,20000.0
2012-02-13,20000.0
2012-02-20,20000.0
2012-02-21,20000.0
2012-02-22,20000.0
2012-02-28,20000.0
2012-02-29,20000.0
2012-03-02,20000.0
2012-03-19,20000.0
2012-03-23,20000.0
2012-03-26,19865.0
2012-03-28,19896.0
2012-03-29,19896.0
2012-03-30,19792.0
2012-04-02,19600.0
2012-04-03,19600.0
2012-04-05,19600.0
2012-04-11,19600.0
2012-04-13,19500.0
2012-04-16,19500.0
2012-04-17,19500.0
2012-04-26,19600.0
2012-04-27,19500.0
2012-04-30,19430.0
2012-05-01,19290.0
2012-05-04,19020.0
2012-05-11,19020.0
2012-05-14,19020.0
2012-05-16,18628.5
2012-05-18,19290.0
2012-05-23,18628.5
2012-05-24,19290.0
2012-05-25,18628.5
2012-05-29,18628.5
2012-05-30,18503.5
2012-05-31,18500.0
2012-06-01,18500.0
2012-06-05,18423.5
2012-06-07,18423.5
2012-06-08,18423.5
2012-06-13,18338.5
2012-06-15,18338.5
2012-06-19,18204.0
2012-06-22,18204.0
2012-06-25,18204.0
2012-06-26,18078.0
2012-06-28,18078.0
2012-06-29,18078.0
2012-07-02,18408.5
2012-07-05,18039.0
2012-07-06,18039.0
2012-07-10,18000.0
2012-07-11,18000.0
2012-07-13,17673.5
2012-07-16,17673.5
2012-07-17,17673.5
2012-07-18,17637.0
2012-07-19,17637.0
2012-07-20,17637.0
2012-07-23,17637.0
2012-07-24,17637.0
2012-07-30,17637.0
2012-08-01,17568.5
2012-08-02,17568.5
2012-08-06,17500.0
2012-08-10,17500.0
2012-08-20,17375.0
2012-08-29,17125.0
2012-09-03,17125.0
2012-09-04,17000.0
2012-09-10,17000.0
2012-09-11,17000.0
2012-09-14,17000.0
2012-09-20,17000.0
2012-09-21,16950.0
