date,LMNIDY,return_60d,discrete_60d,score,horizon,discrete_score
2017-08-21,11263.5,4.044036045634125,1,4.040582729214873,60,1
2017-08-22,11363.5,2.3760285123421543,1,1.072872495817758,60,1
2017-08-23,11606.5,-2.6924568129927158,0,-4.565712571140762,60,0
2017-08-24,11689.0,-1.4586363247497625,0,-4.5896259519577765,60,0
2017-08-25,11426.0,1.5315946087869792,1,5.128974622574054,60,1
2017-08-30,11520.0,2.2656250000000044,1,-6.488333566282509,60,0
2017-08-31,11740.0,1.1286201022146614,0,-4.184957222486913,60,0
2017-09-01,11972.75,0.052201875091362204,0,-0.8096628131314022,60,0
2017-09-05,12020.0,-6.073211314475868,0,0.9220555549334892,60,1
2017-09-06,12102.0,-5.304908279623199,0,-0.9631608323323272,60,0
2017-09-07,12086.25,-8.573792532836901,-1,-5.418018086162201,60,0
2017-09-08,11524.0,-2.5555362721277337,0,-3.2436584273630404,60,0
2017-09-13,11270.0,-4.62289263531499,0,-5.469809337774197,60,0
2017-09-14,11124.0,-1.2360661632506265,0,-1.4500326912575514,60,0
2017-09-15,11009.5,-1.0808846904945768,0,2.691751328627651,60,1
2017-09-20,11310.0,-2.3961096374889523,0,-29.261301454846414,60,-1
2017-09-21,10930.5,1.546132381867249,1,-8.938193862658203,60,-1
2017-09-22,10342.0,11.40978534132664,1,-6.291373996891884,60,0
2017-09-27,10157.0,17.908831347838934,1,4.360354973910584,60,1
2017-09-28,10358.0,15.958679281714616,1,3.7856365808282537,60,1
2017-10-11,11061.0,12.88762318054426,1,-6.440123895555558,60,0
2017-10-12,11338.0,11.501146586699585,1,-12.418248632107348,60,-1
2017-10-13,11610.5,10.96421342750098,1,-13.058887284143989,60,-1
2017-10-16,11805.5,6.501207064503832,1,-3.806758232850509,60,0
2017-10-17,11702.5,8.387096774193559,1,-1.7904091032145244,60,0
2017-10-18,11586.0,10.538581046090114,1,-2.225145436694344,60,0
2017-10-19,11675.5,6.90762708235193,1,-16.51771009925558,60,-1
2017-10-20,11670.5,5.833083415449214,1,-17.68648399327149,60,-1
2017-10-23,11795.5,5.3028697384595915,1,-12.124586319678102,60,-1
2017-10-24,11940.0,6.185092127303183,1,-10.24386950810998,60,-1
2017-10-25,11821.0,7.634717874968278,1,-8.761629433642405,60,-1
2017-10-26,11716.0,9.337657903721407,1,-7.206201612051839,60,0
2017-10-31,12256.5,11.112470933790243,1,-1.9981031905049904,60,0
2017-11-01,12758.0,7.975387991848247,1,-1.5191416764091104,60,0
2017-11-02,12568.0,5.959579885423305,1,-1.165579523341409,60,0
2017-11-03,12682.0,6.919255637912003,1,-3.3431016253172783,60,0
2017-11-06,12870.0,8.51204351204351,1,-7.018352290739974,60,0
2017-11-07,12599.0,6.357647432335888,1,-3.3658980284527957,60,0
2017-11-08,12650.5,8.335638907553067,1,-2.330192187229194,60,0
2017-11-09,12247.0,8.965460929207158,1,-6.2443679716689875,60,0
2017-11-10,12055.5,8.946124175687453,1,-8.107334004317764,60,-1
2017-11-14,11719.0,10.354979093779338,1,-1.9123367440535093,60,0
2017-11-15,11633.5,12.262001977049033,1,-0.4151734393720175,60,0
2017-11-16,11294.0,18.717903311492837,1,-5.507484559600194,60,0
2017-11-17,11518.5,22.02977818292313,1,-11.960739101518653,60,-1
2017-11-21,11810.5,17.44210660005927,1,-17.57123540881249,60,-1
2017-11-22,11781.0,14.95628554452084,1,-13.11765687754879,60,-1
2017-11-23,11872.5,14.205095809644131,1,-4.115460305788087,60,0
2017-11-24,11979.0,15.176558978211864,1,-2.9227611161414493,60,0
2017-11-28,11290.0,21.550044286979624,1,0.032100058112750914,60,1
2017-11-29,11460.0,21.112565445026178,1,-2.8087051814736776,60,0
2017-11-30,11050.0,24.864253393665162,1,-3.912633765400397,60,0
2017-12-01,11229.5,22.38746159668729,1,-12.33428893278437,60,-1
2017-12-05,10801.0,24.090362003518194,1,-13.993752768879116,60,-1
2017-12-06,10749.0,24.467392315564233,1,-4.705729968693534,60,0
2017-12-07,10986.5,24.020388658808532,1,-11.367713802854034,60,-1
2017-12-08,10890.5,24.273449336577755,1,-16.195103652502972,60,-1
2017-12-11,11176.5,18.22574151120655,1,-7.616916339020281,60,0
2017-12-12,11009.0,25.479153419929148,1,-7.4341068793021785,60,0
2017-12-13,11039.0,23.403387988042397,1,-8.686034038983735,60,-1
2017-12-14,11099.5,24.58218838686428,1,-7.910847185588162,60,0
2017-12-15,11522.0,19.592952612393688,1,-7.82201519123843,60,0
2017-12-19,11697.5,15.999145116477887,1,-4.221110380234531,60,0
2017-12-20,11976.0,12.132598530394125,1,-0.4350320156650249,60,0
2017-12-21,12011.0,11.631004912163846,1,-1.2509462769906279,60,0
2017-12-22,12072.5,11.128598053427208,1,1.0467852236280646,60,1
2017-12-28,12295.0,4.936966246441644,1,-8.882915715970261,60,-1
2017-12-29,12705.5,1.5583802290346729,1,-3.4379908986939816,60,0
