date,LMCADY,return_20d,discrete_20d,score,horizon,discrete_score
2017-10-27,6800.5,2.639511800602889,1,-3.4030625729161765,20,1
2017-10-30,6839.0,1.1185845883901149,0,-4.039374274762653,20,1
2017-10-31,6816.75,-0.5941247662008986,0,3.647726663232137,20,1
2017-11-01,6898.75,-2.4352237724225456,-1,9.057728681625164,20,1
2017-11-02,6898.0,-2.3630037692084715,0,3.693881554639335,20,1
2017-11-03,6864.5,-0.8157913904872859,0,3.180977463748672,20,1
2017-11-07,6792.75,-4.118361488351551,-1,3.244599681812214,20,1
2017-11-08,6825.5,-4.512489927477836,-1,0.7554596943822477,20,1
2017-11-09,6778.0,-3.6588964296252584,-1,-5.314814709364713,20,0
2017-11-10,6753.75,-3.213029798260225,-1,-1.6141582650269255,20,1
2017-11-13,6860.75,-3.2977444156979896,-1,-14.257761990112375,20,-1
2017-11-14,6720.0,-1.391369047619051,0,-7.093556824406639,20,0
2017-11-15,6736.25,-0.660604935980702,0,7.505623423631968,20,1
2017-11-16,6702.75,0.8690462869717752,0,7.644222531034554,20,1
2017-11-17,6743.5,1.6534440572403053,0,-0.4177988902374292,20,1
2017-11-20,6797.25,1.1328110632976562,0,1.526740309731858,20,1
2017-11-21,6877.5,0.410759723736831,0,1.5316623936078406,20,1
2017-11-22,6923.0,1.0797342192691015,0,4.218230543834443,20,1
2017-11-23,6937.25,1.5243792569101575,0,7.4755051352263155,20,1
2017-11-24,6980.0,1.5042979942693435,0,1.0253980988971338,20,1
2017-11-27,6915.5,4.146482539223473,1,3.3681912308761204,20,1
2017-11-28,6776.25,7.046670356022866,1,3.2101003387195908,20,1
2017-11-29,6730.75,7.075734502098575,1,1.4849493061575345,20,1
2017-11-30,6735.0,6.321455085374915,1,-1.3382663166861979,20,1
2017-12-01,6808.5,4.296100462656982,1,-2.287340202776604,20,1
2017-12-04,6800.75,5.072969893026502,1,-11.02801290731053,20,0
2017-12-05,6513.0,8.682634730538918,1,-4.42132633943757,20,1
2017-12-06,6517.5,8.630609896432674,1,2.14694415525066,20,1
2017-12-07,6530.0,8.108728943338427,1,-3.2985430264759814,20,1
2017-12-08,6536.75,8.811718361571106,1,-4.501167580929762,20,1
2017-12-11,6634.5,7.057803903836013,1,1.3157547721171852,20,1
2017-12-12,6626.5,6.756960688146084,1,-0.7311605840231101,20,1
2017-12-13,6691.75,7.314977397541745,1,-0.8612625815110379,20,1
2017-12-14,6761.0,4.063747966277176,1,-1.0873493540174202,20,1
2017-12-15,6855.0,2.031363967906641,0,2.1238003829654675,20,1
2017-12-18,6874.25,2.2947957959050136,1,1.9071068238158573,20,1
2017-12-19,6905.75,1.3539441769539806,0,3.1529165740861207,20,1
2017-12-20,6997.75,0.3894108820692299,0,4.477090144732762,20,1
2017-12-21,7043.0,-2.2788584410052493,0,2.0732071002651766,20,1
2017-12-22,7085.0,0.3669724770642091,0,1.8191390811122568,20,1
2017-12-27,7202.25,-1.4092818216529523,0,0.4329445032323974,20,1
2017-12-28,7253.75,-2.9122867482336723,-1,0.4352143929566129,20,1
2017-12-29,7207.0,-2.3033162203413338,0,-0.19950070611184945,20,1
