date,LMZSDY,return_3d,discrete_3d,score,horizon,discrete_score
2018-02-13,3492.5,3.0350751610594084,1,-0.9662018335561036,3,0
2018-02-14,3591.0,-0.38290169869117374,0,-0.10147275904253868,3,0
2018-02-16,3598.5,-0.8475753786299833,-1,0.0,3,0
2018-02-22,3572.0,-1.5257558790593542,-1,-1.8603187954121805,3,-1
2018-02-23,3552.75,-2.132151150517203,-1,-0.23964041810794054,3,0
2018-02-26,3572.75,-4.429361136379539,-1,8.403226100225144,3,1
2018-02-27,3517.5,-4.534470504619757,-1,8.172975897900134,3,1
2018-02-28,3477.0,-5.126545872878918,-1,8.448269945291889,3,1
2018-03-01,3414.5,-3.2069117001025,-1,5.015491945316935,3,1
2018-03-02,3358.0,-3.0226325193567605,-1,0.5637666312344387,3,0
2018-03-05,3298.75,-2.1902235695339107,-1,1.0921477901132504,3,0
2018-03-06,3305.0,-0.8698940998487115,-1,-2.3994081737452824,3,-1
2018-03-07,3256.5,-0.6064793489943154,-1,-2.2577625292442147,3,-1
2018-03-08,3226.5,2.014566868123357,1,3.1350762628201116,3,1
2018-03-09,3276.25,-1.6405951926745543,-1,-0.4132313052629335,3,0
2018-03-12,3236.75,-0.10813315826060377,0,2.4823969419437217,3,1
2018-03-13,3291.5,-0.8506759835941069,-1,-2.2785476901131214,3,-1
2018-03-14,3222.5,1.3033359193173055,0,-3.0066429053363435,3,-1
2018-03-15,3233.25,-0.9510554395731896,-1,0.9339368190933712,3,0
2018-03-16,3263.5,-0.4672897196261627,0,0.5784594065336505,3,0
2018-03-19,3264.5,-1.96048399448614,-1,2.3975691567474025,3,1
2018-03-20,3202.5,0.3747072599531665,0,2.224587082075168,3,1
2018-03-21,3248.25,0.5541445393673516,0,3.0688449903921837,3,1
2018-03-22,3200.5,2.741759100140606,1,7.620078032322698,3,1
2018-03-23,3214.5,2.690931715663392,1,7.617172793161199,3,1
2018-03-26,3266.25,0.543436662839647,0,10.311799913572305,3,1
2018-03-27,3288.25,0.06842545426899438,0,9.086041280463864,3,1
2018-03-28,3301.0,-1.1511663132384164,-1,4.540984436059454,3,1
2018-03-29,3284.0,-1.3398294762484777,-1,1.7923351246394872,3,0
2018-04-03,3290.5,-1.7322595350250714,-1,0.6215536829931315,3,0
2018-04-04,3263.0,-1.7468587189702678,-1,-1.9204278403939208,3,-1
2018-04-09,3206.0,-3.727386150966938,-1,-6.3434658239486525,3,-1
2018-04-10,3234.5,-3.9727933219972154,-1,-2.4298655334795938,3,-1
2018-04-11,3229.5,-3.2435361511069845,-1,0.5342358374619036,3,0
2018-04-12,3086.5,1.6766564069334189,1,1.1082280600339924,3,0
2018-04-13,3106.0,4.587894397939474,1,2.4430918136436297,3,1
2018-04-16,3124.75,2.696215697255777,1,5.503913419210719,3,1
2018-04-17,3138.25,2.7483470086831834,1,8.478188145381399,3,1
2018-04-18,3248.5,-1.0466369093427683,-1,11.698561925336035,3,1
2018-04-19,3209.0,-0.4518541601745141,0,4.994648760714999,3,1
2018-04-20,3224.5,-2.977205768336177,-1,-0.10651256626830864,3,0
2018-04-23,3214.5,-2.426504899673354,-1,12.583869214800705,3,1
2018-04-24,3194.5,-2.1130067303177347,-1,2.6085137028077883,3,1
2018-04-25,3128.5,-0.09589260028767256,0,-4.8948730665174525,3,-1
2018-04-26,3136.5,-2.9810298102981077,-1,-6.363025372119354,3,-1
2018-04-27,3127.0,-3.0460505276622922,-1,-1.609289435237497,3,-1
