date,LMPBDY,return_60d,discrete_60d,score,horizon,discrete_score
2018-06-14,2438.75,-15.633008713480267,-1,4.077832406374656,60,1
2018-06-15,2391.0,-16.0706817231284,-1,3.1017605777878248,60,1
2018-06-19,2397.5,-16.506777893639214,-1,6.255885071075549,60,1
2018-06-20,2385.5,-15.185495703206875,-1,2.98974478292768,60,1
2018-06-21,2362.5,-14.095238095238097,-1,2.5565794629278282,60,1
2018-06-22,2406.0,-14.17290108063175,-1,4.025909998613839,60,1
2018-06-25,2413.25,-14.410027970579096,-1,3.145882604518833,60,1
2018-06-26,2401.5,-16.36477201748907,-1,3.63773967706064,60,1
2018-06-27,2428.0,-17.977759472817137,-1,1.4506136954822086,60,1
2018-06-28,2392.25,-14.891838227609988,-1,-8.257409936051282,60,-1
2018-06-29,2405.25,-15.393410248414929,-1,-10.994570480379164,60,-1
