,LEPB
2001-05-10,124175.0
2001-05-11,124300.0
2001-05-14,123450.0
2001-05-15,124400.0
2001-05-16,124600.0
2001-05-17,125350.0
2001-05-18,125025.0
2001-05-21,126125.0
2001-05-22,121050.0
2001-05-23,121050.0
2001-05-24,121050.0
2001-05-25,121525.0
2001-05-29,120025.0
2001-05-30,119625.0
2001-05-31,118575.0
2001-06-01,118200.0
2001-06-04,107500.0
2001-06-05,106550.0
2001-06-06,105500.0
2001-06-07,104200.0
2001-06-08,104150.0
2001-06-11,104200.0
2001-06-12,103975.0
2001-06-13,103725.0
2001-06-14,100900.0
2001-06-15,102650.0
2001-06-18,102900.0
2001-06-19,102650.0
2001-06-20,102000.0
2001-06-21,102025.0
2001-06-22,102025.0
2001-06-25,101075.0
2001-06-26,100975.0
2001-06-27,97650.0
2001-06-28,95625.0
2001-06-29,92200.0
2001-07-02,92050.0
2001-07-03,92025.0
2001-07-04,92025.0
2001-07-05,91850.0
2001-07-06,91775.0
2001-07-09,91675.0
2001-07-10,92175.0
2001-07-11,93625.0
2001-07-12,92650.0
2001-07-13,92600.0
2001-07-16,91350.0
2001-07-17,91150.0
2001-07-18,91150.0
2001-07-19,91525.0
2001-07-20,91250.0
2001-07-23,92825.0
2001-07-24,91800.0
2001-07-25,91375.0
2001-07-26,90850.0
2001-07-27,90825.0
2001-07-30,91800.0
2001-07-31,91300.0
2001-08-01,91300.0
2001-08-02,90700.0
2001-08-03,90700.0
2001-08-06,90700.0
2001-08-07,90625.0
2001-08-08,90600.0
2001-08-09,90550.0
2001-08-10,90550.0
2001-08-13,90550.0
2001-08-14,90550.0
2001-08-15,90550.0
2001-08-16,94550.0
2001-08-17,94525.0
2001-08-20,94525.0
2001-08-21,93750.0
2001-08-22,93550.0
2001-08-23,93400.0
2001-08-24,93975.0
2001-08-28,93775.0
2001-08-29,93500.0
2001-08-30,92950.0
2001-08-31,90725.0
2001-09-03,90475.0
2001-09-04,90125.0
2001-09-05,89950.0
2001-09-06,88850.0
2001-09-07,92500.0
2001-09-10,92150.0
2001-09-11,92675.0
2001-09-12,93600.0
2001-09-13,93550.0
2001-09-14,93225.0
2001-09-17,93225.0
2001-09-18,94650.0
2001-09-19,95225.0
2001-09-20,95125.0
2001-09-21,95125.0
2001-09-24,95075.0
2001-09-25,93750.0
2001-09-26,93700.0
2001-09-27,94000.0
2001-09-28,91850.0
2001-10-01,92125.0
2001-10-02,91725.0
2001-10-03,91950.0
2001-10-04,91875.0
2001-10-05,91750.0
2001-10-08,92150.0
2001-10-09,91550.0
2001-10-10,91325.0
2001-10-11,91100.0
2001-10-12,91100.0
2001-10-15,90100.0
2001-10-16,89950.0
2001-10-17,91150.0
2001-10-18,93825.0
2001-10-19,94200.0
2001-10-22,94125.0
2001-10-23,94750.0
2001-10-24,95100.0
2001-10-25,96775.0
2001-10-26,99425.0
2001-10-29,99925.0
2001-10-30,98100.0
2001-10-31,96700.0
2001-11-01,97700.0
2001-11-02,97400.0
2001-11-05,98325.0
2001-11-06,96250.0
2001-11-07,96750.0
2001-11-08,97700.0
2001-11-09,97825.0
2001-11-12,97825.0
2001-11-13,97500.0
2001-11-14,100600.0
2001-11-15,100150.0
2001-11-16,100650.0
2001-11-19,101600.0
2001-11-20,100950.0
2001-11-21,102400.0
2001-11-22,102400.0
2001-11-23,102900.0
2001-11-26,102800.0
2001-11-27,104475.0
2001-11-28,88025.0
2001-11-29,85550.0
2001-11-30,86525.0
2001-12-03,85200.0
2001-12-04,84100.0
2001-12-05,84450.0
2001-12-06,83050.0
2001-12-07,83050.0
2001-12-10,84300.0
2001-12-11,84875.0
2001-12-12,83275.0
2001-12-13,83050.0
2001-12-14,82925.0
2001-12-17,82800.0
2001-12-18,84425.0
2001-12-19,84600.0
2001-12-20,84100.0
2001-12-21,86175.0
2001-12-27,90975.0
2001-12-28,94575.0
2002-01-02,95175.0
2002-01-03,95025.0
2002-01-04,97325.0
2002-01-07,96775.0
2002-01-08,95900.0
2002-01-09,95775.0
2002-01-10,96025.0
2002-01-11,100650.0
2002-01-14,104375.0
2002-01-15,115650.0
2002-01-16,124525.0
2002-01-17,125275.0
2002-01-18,107150.0
2002-01-21,106500.0
2002-01-22,110150.0
2002-01-23,112175.0
2002-01-24,113300.0
