,LSPB
1982-02-26,64125.0
1982-03-05,66675.0
1982-03-12,68225.0
1982-03-19,68600.0
1982-03-26,72025.0
1982-04-02,72925.0
1982-04-09,79550.0
1982-04-16,83950.0
1982-04-23,83975.0
1982-04-30,85225.0
1982-05-07,85250.0
1982-05-14,85575.0
1982-05-21,87725.0
1982-05-28,88800.0
1982-06-04,90200.0
1982-06-11,93425.0
1982-06-18,98600.0
1982-06-25,100550.0
1982-07-02,100700.0
1982-07-09,102625.0
1982-07-16,104375.0
1982-07-23,109325.0
1982-07-30,114575.0
1982-08-06,114600.0
1982-08-13,118450.0
1982-08-20,118800.0
1982-08-27,117950.0
1982-09-03,121700.0
1982-09-10,122700.0
1982-09-17,123875.0
1982-09-24,120750.0
1982-10-01,121100.0
1982-10-08,122150.0
1982-10-15,125575.0
1982-10-22,124925.0
1982-10-29,125575.0
1982-11-05,124000.0
1982-11-12,123125.0
1982-11-19,123500.0
1982-11-26,123825.0
1982-12-03,123950.0
1982-12-10,123925.0
1982-12-17,125700.0
1982-12-24,126000.0
1982-12-31,126425.0
1983-01-07,130200.0
1983-01-14,130875.0
1983-01-21,131100.0
1983-01-28,133300.0
1983-02-04,134825.0
1983-02-11,138950.0
1983-02-18,139950.0
1983-02-25,139500.0
1983-03-04,140850.0
1983-03-11,145800.0
1983-03-18,145900.0
1983-03-25,147800.0
1983-04-01,160450.0
1983-04-08,160850.0
1983-04-15,164050.0
1983-04-22,164650.0
1983-04-29,169850.0
1983-05-06,170400.0
1983-05-13,177550.0
1983-05-20,178050.0
1983-05-27,185400.0
1983-06-03,186200.0
1983-06-10,193650.0
1983-06-17,193600.0
1983-06-24,195600.0
1983-07-01,196500.0
1983-07-08,201525.0
1983-07-15,200725.0
1983-07-22,199950.0
1983-07-29,199825.0
1983-08-05,202700.0
1983-08-12,204875.0
1983-08-19,204725.0
1983-08-26,204875.0
1983-09-02,206525.0
1983-09-09,209600.0
1983-09-16,211850.0
1983-09-23,215125.0
1983-09-30,218125.0
1983-10-07,218075.0
1983-10-14,198075.0
1983-10-21,191725.0
1983-10-28,186850.0
1983-11-04,183150.0
1983-11-11,184650.0
1983-11-18,184750.0
1983-11-25,185375.0
1983-12-02,185500.0
1983-12-09,171900.0
1983-12-16,171475.0
1983-12-23,172125.0
1983-12-30,171900.0
1984-01-06,176575.0
1984-01-13,174450.0
1984-01-20,174125.0
1984-01-27,170925.0
1984-02-03,170700.0
1984-02-10,169150.0
1984-02-17,161250.0
1984-02-24,161375.0
1984-03-01,159675.0
1984-03-08,150325.0
1984-03-15,142200.0
1984-03-22,136550.0
1984-03-29,132350.0
1984-04-05,125775.0
1984-04-12,119700.0
1984-04-19,117925.0
1984-04-26,108475.0
1984-05-03,98600.0
1984-05-10,92675.0
1984-05-17,90275.0
1984-05-24,88250.0
1984-05-31,85825.0
1984-06-07,81875.0
1984-06-14,79425.0
1984-06-21,68475.0
1984-06-28,68050.0
1984-07-05,65500.0
1984-07-12,65275.0
1984-07-19,64925.0
1984-07-26,65550.0
1984-08-02,65325.0
1984-08-09,57100.0
1984-08-16,56175.0
1984-08-23,56450.0
1984-08-30,56200.0
1984-09-06,57400.0
1984-09-13,57625.0
1984-09-20,55450.0
1984-09-27,54325.0
1984-10-04,50025.0
1984-10-11,44950.0
1984-10-18,43025.0
1984-10-25,42700.0
1984-11-01,40450.0
1984-11-08,40200.0
1984-11-15,39375.0
1984-11-22,38825.0
1984-11-29,40175.0
1984-12-06,39875.0
1984-12-13,39925.0
1984-12-20,40175.0
1984-12-27,40475.0
1985-01-04,42900.0
1985-01-11,45475.0
1985-01-18,47500.0
1985-01-25,51525.0
1985-02-01,55575.0
1985-02-08,56175.0
1985-02-15,55200.0
1985-02-22,53225.0
1985-03-01,49475.0
1985-03-08,50225.0
1985-03-15,51750.0
1985-03-22,51475.0
1985-03-29,49300.0
1985-04-05,48850.0
1985-04-12,46650.0
1985-04-19,44100.0
1985-04-26,41725.0
1985-05-03,41250.0
1985-05-10,34925.0
1985-05-17,34625.0
1985-05-24,34775.0
1985-05-31,35000.0
1985-06-07,35125.0
1985-06-14,35375.0
1985-06-21,35950.0
1985-06-28,35625.0
1985-07-05,35400.0
1985-07-12,35175.0
1985-07-19,35150.0
1985-07-26,35125.0
1985-08-02,35175.0
1985-08-09,35050.0
1985-08-16,36050.0
1985-08-23,36150.0
1985-08-30,35950.0
1985-09-06,35200.0
1985-09-13,35000.0
1985-09-20,34275.0
1985-09-27,34425.0
1985-10-04,34525.0
1985-10-11,38325.0
1985-10-18,40550.0
1985-10-25,43350.0
1985-11-01,46275.0
1985-11-08,50825.0
1985-11-15,51225.0
1985-11-22,57025.0
1985-11-29,57700.0
1985-12-06,58075.0
1985-12-13,58650.0
1985-12-20,60150.0
1985-12-27,61275.0
1986-01-03,62625.0
1986-01-10,65675.0
1986-01-17,67775.0
1986-01-24,69475.0
1986-01-31,68375.0
1986-02-07,65600.0
1986-02-14,64550.0
1986-02-21,64175.0
1986-02-28,63500.0
1986-03-07,62575.0
1986-03-14,59425.0
1986-03-21,59850.0
