,LSNI
1991-12-19,11202.0
1991-12-23,12102.0
1991-12-30,11922.0
1992-01-02,11850.0
1992-01-06,13338.0
1992-01-09,13536.0
1992-01-13,14136.0
1992-01-16,14820.0
1992-01-20,15252.0
1992-01-23,16524.0
1992-01-27,17400.0
1992-01-30,17916.0
1992-02-03,18498.0
1992-02-06,18744.0
1992-02-10,18750.0
1992-02-13,18744.0
1992-02-17,19284.0
1992-02-20,19734.0
1992-02-24,20940.0
1992-02-27,21432.0
1992-03-02,22350.0
1992-03-05,22656.0
1992-03-09,23430.0
1992-03-12,24276.0
1992-03-16,24528.0
1992-03-19,25068.0
1992-03-23,24990.0
1992-03-26,25740.0
1992-03-30,26028.0
1992-04-02,26268.0
1992-04-06,26202.0
1992-04-09,26100.0
1992-04-13,26172.0
1992-04-16,26292.0
1992-04-23,26034.0
1992-04-27,26208.0
1992-04-30,26478.0
1992-05-07,26730.0
1992-05-11,26916.0
1992-05-14,27054.0
1992-05-18,27360.0
1992-05-21,27390.0
1992-05-28,27792.0
1992-06-01,27628.0
1992-06-04,28716.0
1992-06-08,28836.0
1992-06-11,29406.0
1992-06-15,29136.0
1992-06-18,30084.0
1992-06-22,30930.0
1992-06-25,29994.0
1992-06-29,28296.0
1992-07-02,27750.0
1992-07-06,25968.0
1992-07-09,25608.0
1992-07-13,25572.0
1992-07-16,25650.0
1992-07-20,26286.0
1992-07-23,27636.0
1992-07-27,29910.0
1992-07-30,34560.0
1992-08-03,34986.0
1992-08-06,38022.0
1992-08-10,40320.0
1992-08-13,40968.0
1992-08-17,42156.0
1992-08-20,42732.0
1992-08-24,42960.0
1992-08-27,43302.0
1992-09-03,44082.0
1992-09-07,43902.0
1992-09-10,44388.0
1992-09-14,44688.0
1992-09-17,44874.0
1992-09-21,45234.0
1992-09-24,45612.0
1992-09-28,45750.0
1992-10-01,46344.0
1992-10-05,46524.0
1992-10-08,49410.0
1992-10-12,50850.0
1992-10-15,52728.0
1992-10-19,53706.0
1992-10-22,55080.0
1992-10-26,55602.0
1992-10-29,56040.0
1992-11-02,56238.0
1992-11-05,57216.0
1992-11-09,58320.0
1992-11-12,59790.0
1992-11-16,60222.0
1992-11-19,60870.0
1992-11-23,61866.0
1992-11-26,62676.0
1992-11-30,63726.0
1992-12-03,64182.0
1992-12-07,64956.0
1992-12-10,66276.0
1992-12-14,67098.0
1992-12-17,67194.0
1992-12-21,67914.0
1993-01-04,71382.0
1993-01-07,72030.0
1993-01-11,72846.0
1993-01-14,73968.0
1993-01-18,75642.0
1993-01-21,77196.0
1993-01-25,78072.0
1993-01-28,78804.0
1993-02-01,79212.0
1993-02-04,79338.0
1993-02-08,79818.0
1993-02-11,80304.0
1993-02-15,80988.0
1993-02-18,82164.0
1993-02-22,82950.0
1993-02-25,83028.0
1993-03-01,85086.0
1993-03-04,85494.0
1993-03-08,84882.0
1993-03-11,85530.0
1993-03-15,85752.0
1993-03-18,85740.0
1993-03-22,86010.0
1993-03-25,86538.0
1993-03-29,86910.0
1993-04-01,87612.0
1993-04-05,88050.0
1993-04-08,88398.0
1993-04-15,88686.0
1993-04-19,88908.0
1993-04-22,87450.0
1993-04-26,88398.0
1993-04-29,89910.0
1993-05-06,91506.0
1993-05-10,91980.0
1993-05-13,92274.0
1993-05-17,92502.0
1993-05-20,94656.0
1993-05-24,94980.0
1993-05-27,95280.0
1993-06-03,95652.0
1993-06-07,96312.0
1993-06-10,94830.0
1993-06-14,93090.0
1993-06-17,90492.0
1993-06-21,88362.0
1993-06-24,86520.0
1993-06-28,86646.0
1993-07-01,85476.0
1993-07-05,86868.0
1993-07-08,90804.0
1993-07-12,93390.0
1993-07-15,95772.0
1993-07-19,97104.0
1993-07-22,99024.0
1993-07-26,100392.0
1993-07-29,101568.0
1993-08-02,101796.0
1993-08-05,102504.0
1993-08-09,103170.0
1993-08-12,103692.0
1993-08-16,104424.0
1993-08-19,105030.0
1993-08-23,105288.0
1993-08-26,106260.0
1993-09-02,107436.0
1993-09-06,108828.0
1993-09-09,110328.0
1993-09-13,111048.0
1993-09-16,112338.0
1993-09-20,113322.0
1993-09-23,114618.0
1993-09-27,115668.0
1993-09-30,117930.0
1993-10-04,117978.0
1993-10-07,118764.0
1993-10-11,118572.0
1993-10-14,118440.0
1993-10-18,118494.0
1993-10-21,118104.0
1993-10-25,118620.0
1993-10-28,119196.0
1993-11-01,118968.0
1993-11-04,119358.0
1993-11-08,119280.0
1993-11-11,118686.0
1993-11-15,117894.0
1993-11-18,118014.0
1993-11-22,118188.0
1993-11-25,118488.0
1993-11-29,118944.0
1993-12-02,119904.0
1993-12-06,120432.0
1993-12-09,120240.0
1993-12-13,120720.0
1993-12-16,121626.0
1993-12-20,121764.0
1993-12-23,122784.0
1993-12-30,124104.0
1994-01-06,125292.0
1994-01-10,125868.0
1994-01-13,127116.0
1994-01-17,127554.0
1994-01-20,128478.0
1994-01-24,128112.0
1994-01-27,128826.0
1994-01-31,128862.0
1994-02-03,129972.0
1994-02-07,130386.0
1994-02-10,131352.0
1994-02-14,131742.0
1994-02-17,132462.0
1994-02-21,132222.0
1994-02-24,132210.0
1994-02-28,133284.0
1994-03-03,133908.0
1994-03-07,134004.0
1994-03-10,133986.0
1994-03-14,134928.0
1994-03-17,135846.0
1994-03-21,136200.0
1994-03-24,136338.0
1994-03-28,136284.0
1994-03-31,137010.0
1994-04-07,136728.0
1994-04-11,136386.0
1994-04-14,136482.0
1994-04-15,136482.0
1994-04-18,136458.0
1994-04-22,135756.0
1994-04-26,135072.0
1994-04-29,133752.0
1994-05-06,132948.0
1994-05-10,132096.0
1994-05-13,132516.0
1994-05-17,132330.0
1994-05-20,132270.0
1994-05-24,131946.0
1994-05-27,131904.0
1994-06-03,132702.0
1994-06-07,131940.0
1994-06-10,131892.0
1994-06-14,131910.0
1994-06-17,131934.0
1994-06-21,132102.0
1994-06-22,132102.0
1994-06-24,132072.0
1994-06-28,132498.0
1994-07-01,132684.0
1994-07-05,132774.0
1994-07-08,132762.0
1994-07-12,133002.0
1994-07-15,132948.0
1994-07-19,132768.0
1994-07-22,132516.0
1994-07-26,132960.0
1994-07-29,133344.0
1994-08-02,133752.0
1994-08-05,134142.0
1994-08-09,135660.0
1994-08-12,136128.0
1994-08-16,136656.0
1994-08-19,137430.0
1994-08-23,138192.0
1994-08-26,138186.0
1994-09-02,139044.0
1994-09-06,140034.0
1994-09-09,140868.0
1994-09-13,141618.0
1994-09-16,142278.0
1994-09-20,142068.0
1994-09-23,143238.0
1994-09-27,144270.0
1994-09-30,144432.0
1994-10-04,144960.0
1994-10-07,146352.0
1994-10-11,146592.0
1994-10-14,146772.0
1994-10-18,147186.0
1994-10-21,147966.0
1994-10-25,148638.0
1994-10-28,149262.0
