,LEZS
1999-01-11,305775.0
1999-01-12,306000.0
1999-01-13,305950.0
1999-01-14,306625.0
1999-01-15,308000.0
1999-01-18,311900.0
1999-01-19,311075.0
1999-01-20,310950.0
1999-01-21,308950.0
1999-01-22,308450.0
1999-01-25,307500.0
1999-01-26,307350.0
1999-01-27,307025.0
1999-01-28,306550.0
1999-01-29,306025.0
1999-02-01,305450.0
1999-02-02,305200.0
1999-02-03,304975.0
1999-02-04,304300.0
1999-02-05,303875.0
1999-02-08,303575.0
1999-02-09,302975.0
1999-02-10,304000.0
1999-02-11,303925.0
1999-02-12,303675.0
1999-02-15,303225.0
1999-02-16,302700.0
1999-02-17,304350.0
1999-02-18,304275.0
1999-02-19,303775.0
1999-02-22,303650.0
1999-02-23,303375.0
1999-02-24,302500.0
1999-02-25,304000.0
1999-02-26,302800.0
1999-03-01,304725.0
1999-03-02,304125.0
1999-03-03,303225.0
1999-03-04,302675.0
1999-03-05,301950.0
1999-03-08,302475.0
1999-03-09,302100.0
1999-03-10,303600.0
1999-03-11,302625.0
1999-03-12,301425.0
1999-03-15,300850.0
1999-03-16,300725.0
1999-03-17,300400.0
1999-03-18,299825.0
1999-03-19,299150.0
1999-03-22,298725.0
1999-03-23,298775.0
1999-03-24,298850.0
1999-03-25,300250.0
1999-03-26,299725.0
1999-03-29,300700.0
1999-03-30,300625.0
1999-03-31,300125.0
1999-04-01,299575.0
1999-04-06,299900.0
1999-04-07,301925.0
1999-04-08,304900.0
1999-04-09,305000.0
1999-04-12,306150.0
1999-04-13,310250.0
1999-04-14,311150.0
1999-04-15,312200.0
1999-04-16,312650.0
1999-04-19,311600.0
1999-04-20,312900.0
1999-04-21,312675.0
1999-04-22,314075.0
1999-04-23,314375.0
1999-04-26,313825.0
1999-04-27,314150.0
1999-04-28,314000.0
1999-04-29,313475.0
1999-04-30,313575.0
1999-05-04,313225.0
1999-05-05,312800.0
1999-05-06,312000.0
1999-05-07,311325.0
1999-05-10,311325.0
1999-05-11,310975.0
1999-05-12,310475.0
1999-05-13,310225.0
1999-05-14,309750.0
1999-05-17,309400.0
1999-05-18,309000.0
1999-05-19,308800.0
1999-05-20,310150.0
1999-05-21,309325.0
1999-05-24,308600.0
1999-05-25,308175.0
1999-05-26,307050.0
1999-05-27,305875.0
1999-05-28,303725.0
1999-06-01,306625.0
1999-06-02,308200.0
1999-06-03,308825.0
1999-06-04,306125.0
1999-06-07,305450.0
1999-06-08,303450.0
1999-06-09,302600.0
1999-06-10,301025.0
1999-06-11,298775.0
1999-06-14,297950.0
1999-06-15,296375.0
1999-06-16,295625.0
1999-06-17,294625.0
1999-06-18,293750.0
1999-06-21,293950.0
1999-06-22,294600.0
1999-06-23,293850.0
1999-06-24,293825.0
1999-06-25,291625.0
1999-06-28,291050.0
1999-06-29,290025.0
1999-06-30,289350.0
1999-07-01,288725.0
1999-07-02,288500.0
1999-07-05,287275.0
1999-07-06,294875.0
1999-07-07,293900.0
1999-07-08,293775.0
1999-07-09,292950.0
1999-07-12,291450.0
1999-07-13,290775.0
1999-07-14,290725.0
1999-07-15,290575.0
1999-07-16,289725.0
1999-07-19,289175.0
1999-07-20,288925.0
1999-07-21,288875.0
1999-07-22,288675.0
1999-07-23,287425.0
1999-07-26,287050.0
1999-07-27,286225.0
1999-07-28,286175.0
1999-07-29,285850.0
1999-07-30,285800.0
1999-08-02,285450.0
1999-08-03,285200.0
1999-08-04,284250.0
1999-08-05,283600.0
1999-08-06,282475.0
1999-08-09,282250.0
1999-08-10,282425.0
1999-08-11,281875.0
1999-08-12,281075.0
1999-08-13,281150.0
1999-08-16,280275.0
1999-08-17,280150.0
1999-08-18,279800.0
1999-08-19,279600.0
1999-08-20,279150.0
1999-08-23,278650.0
1999-08-24,278625.0
1999-08-25,278425.0
1999-08-26,278075.0
1999-08-27,277975.0
1999-08-31,277775.0
1999-09-01,278825.0
1999-09-02,279225.0
1999-09-03,279425.0
1999-09-06,279375.0
1999-09-07,278775.0
1999-09-08,278425.0
1999-09-09,278275.0
1999-09-10,277975.0
1999-09-13,277200.0
1999-09-14,277000.0
1999-09-15,276650.0
1999-09-16,276050.0
1999-09-17,276050.0
1999-09-20,276050.0
1999-09-21,277000.0
1999-09-22,276525.0
1999-09-23,276675.0
1999-09-24,274325.0
1999-09-27,276975.0
1999-09-28,278550.0
1999-09-29,280500.0
1999-09-30,281625.0
1999-10-01,282150.0
1999-10-04,282825.0
1999-10-05,283275.0
1999-10-06,283850.0
1999-10-07,281925.0
1999-10-08,281550.0
1999-10-11,280800.0
1999-10-12,280300.0
1999-10-13,279600.0
1999-10-14,279500.0
1999-10-15,278925.0
1999-10-18,278200.0
1999-10-19,277400.0
1999-10-20,276700.0
1999-10-21,275250.0
1999-10-22,273800.0
1999-10-25,272825.0
1999-10-26,272525.0
1999-10-27,271800.0
1999-10-28,272150.0
1999-10-29,271350.0
1999-11-01,271600.0
1999-11-02,269400.0
1999-11-03,268900.0
1999-11-04,268075.0
1999-11-05,267375.0
1999-11-08,268300.0
1999-11-09,269425.0
1999-11-10,270450.0
1999-11-11,270075.0
1999-11-12,269700.0
1999-11-15,270025.0
1999-11-16,268325.0
1999-11-17,268350.0
1999-11-18,267650.0
1999-11-19,269875.0
1999-11-22,271550.0
1999-11-23,270850.0
1999-11-24,270900.0
1999-11-25,270825.0
1999-11-26,271100.0
1999-11-29,271225.0
1999-11-30,270375.0
1999-12-01,270125.0
1999-12-02,270275.0
1999-12-03,270125.0
1999-12-06,270575.0
1999-12-07,270075.0
1999-12-08,269325.0
1999-12-09,268050.0
1999-12-10,269950.0
1999-12-13,269725.0
1999-12-14,269025.0
1999-12-15,269250.0
1999-12-16,271675.0
1999-12-17,271600.0
1999-12-20,271300.0
1999-12-21,271125.0
1999-12-22,271175.0
1999-12-23,270975.0
1999-12-24,271700.0
1999-12-29,274650.0
1999-12-30,275825.0
2000-01-04,275425.0
2000-01-05,278750.0
2000-01-06,278925.0
2000-01-07,277900.0
2000-01-10,277250.0
2000-01-11,277075.0
2000-01-12,276575.0
2000-01-13,276150.0
2000-01-14,275550.0
2000-01-17,275475.0
2000-01-18,274850.0
2000-01-19,274425.0
2000-01-20,274250.0
2000-01-21,277350.0
2000-01-24,277025.0
2000-01-25,279650.0
2000-01-26,283025.0
2000-01-27,286175.0
2000-01-28,286800.0
2000-01-31,285975.0
2000-02-01,285575.0
2000-02-02,286250.0
2000-02-03,286725.0
2000-02-04,286150.0
2000-02-07,285575.0
2000-02-08,285550.0
2000-02-09,284875.0
2000-02-10,284250.0
2000-02-11,281775.0
2000-02-14,280900.0
2000-02-15,279675.0
2000-02-16,279400.0
2000-02-17,278600.0
2000-02-18,277825.0
2000-02-21,277625.0
2000-02-22,277600.0
2000-02-23,276525.0
2000-02-24,276725.0
2000-02-25,272825.0
2000-02-28,272475.0
2000-02-29,272825.0
2000-03-01,272625.0
2000-03-02,272750.0
2000-03-03,271975.0
2000-03-06,270225.0
2000-03-07,267550.0
2000-03-08,266475.0
2000-03-09,266925.0
2000-03-10,265175.0
2000-03-13,264775.0
2000-03-14,264475.0
2000-03-15,263825.0
2000-03-16,263525.0
2000-03-17,261950.0
2000-03-20,261175.0
2000-03-21,262175.0
2000-03-22,262475.0
2000-03-23,261300.0
2000-03-24,261025.0
2000-03-27,259775.0
2000-03-28,258525.0
2000-03-29,258750.0
2000-03-30,257975.0
2000-03-31,257800.0
2000-04-03,256925.0
2000-04-04,256775.0
2000-04-05,256600.0
2000-04-06,255250.0
2000-04-07,253625.0
2000-04-10,254025.0
2000-04-11,251675.0
2000-04-12,250600.0
2000-04-13,248600.0
2000-04-14,248450.0
2000-04-17,246050.0
2000-04-18,245950.0
2000-04-19,245750.0
2000-04-20,245025.0
2000-04-25,244725.0
2000-04-26,244400.0
2000-04-27,244625.0
2000-04-28,244325.0
2000-05-02,244200.0
2000-05-03,244000.0
2000-05-04,243250.0
2000-05-05,242600.0
2000-05-08,242700.0
2000-05-09,241475.0
2000-05-10,240875.0
2000-05-11,240775.0
2000-05-12,238925.0
2000-05-15,238450.0
2000-05-16,236900.0
2000-05-17,237025.0
2000-05-18,236225.0
2000-05-19,235900.0
2000-05-22,235550.0
2000-05-23,235200.0
2000-05-24,235000.0
2000-05-25,233650.0
2000-05-26,233175.0
2000-05-30,231800.0
2000-05-31,230300.0
2000-06-01,230100.0
2000-06-02,229975.0
2000-06-05,230125.0
2000-06-06,228250.0
2000-06-07,228400.0
2000-06-08,229725.0
2000-06-09,227375.0
2000-06-12,227125.0
2000-06-13,224350.0
2000-06-14,223325.0
2000-06-15,223300.0
2000-06-16,223625.0
2000-06-19,222375.0
2000-06-20,223900.0
2000-06-21,223650.0
2000-06-22,223075.0
2000-06-23,221900.0
2000-06-26,221550.0
2000-06-27,220725.0
2000-06-28,219500.0
2000-06-29,218650.0
2000-06-30,217925.0
2000-07-03,216450.0
2000-07-04,214550.0
2000-07-05,213000.0
2000-07-06,212850.0
2000-07-07,211525.0
2000-07-10,210750.0
2000-07-11,209700.0
2000-07-12,208725.0
2000-07-13,208300.0
2000-07-14,208850.0
2000-07-17,208500.0
2000-07-18,206800.0
2000-07-19,205525.0
2000-07-20,204750.0
2000-07-21,203600.0
2000-07-24,203150.0
2000-07-25,203050.0
2000-07-26,201350.0
2000-07-27,201150.0
