,LSCA
1972-05-18,157225.0
1972-05-25,156650.0
1972-06-01,156725.0
1972-06-08,156575.0
1972-06-15,157400.0
1972-06-22,155400.0
1972-06-29,155650.0
1972-07-06,155450.0
1972-07-13,153400.0
1972-07-20,158025.0
1972-07-27,158825.0
1972-08-03,157925.0
1972-08-10,158175.0
1972-08-17,162050.0
1972-08-24,161075.0
1972-08-31,165925.0
1972-09-07,166375.0
1972-09-14,169750.0
1972-09-21,170150.0
1972-09-28,173625.0
1972-10-05,173050.0
1972-10-12,175400.0
1972-10-19,176500.0
1972-10-26,180400.0
1972-11-02,181750.0
1972-11-09,189100.0
1972-11-16,192000.0
1972-11-23,192050.0
1972-11-30,192100.0
1972-12-07,187300.0
1972-12-14,188950.0
1972-12-21,182775.0
1972-12-28,183050.0
1973-01-05,181900.0
1973-01-12,181725.0
1973-01-19,174100.0
1973-01-26,153750.0
1973-02-02,148050.0
1973-02-09,144450.0
1973-02-16,137725.0
1973-02-23,132275.0
1973-03-02,124075.0
1973-03-09,109275.0
1973-03-16,101475.0
1973-03-23,84900.0
1973-03-30,82925.0
1973-04-06,81500.0
1973-04-13,76275.0
1973-04-20,70775.0
1973-04-27,62500.0
1973-05-04,62875.0
1973-05-11,60925.0
1973-05-18,58750.0
1973-05-25,57800.0
1973-06-01,56450.0
1973-06-08,50125.0
1973-06-15,46500.0
1973-06-22,45325.0
1973-06-29,42325.0
1973-07-06,40400.0
1973-07-13,39000.0
1973-07-20,39650.0
1973-07-27,40225.0
1973-08-03,40475.0
1973-08-10,39000.0
1973-08-17,38500.0
1973-08-24,33050.0
1973-08-31,38075.0
1973-09-07,41925.0
1973-09-14,38750.0
1973-09-21,42425.0
1973-09-28,40125.0
1973-10-05,39575.0
1973-10-12,35800.0
1973-10-19,34625.0
1973-10-26,34650.0
1973-11-02,33175.0
1973-11-09,24925.0
1973-11-16,20150.0
1973-11-23,19900.0
1973-11-30,17650.0
1973-12-07,20850.0
1973-12-14,27525.0
1973-12-21,32775.0
1973-12-28,34825.0
1974-01-04,36925.0
1974-01-11,37425.0
1974-01-18,31475.0
1974-01-25,26000.0
1974-02-01,21225.0
1974-02-08,18250.0
1974-02-15,19975.0
1974-02-22,19400.0
1974-03-01,17800.0
1974-03-08,19375.0
1974-03-15,15525.0
1974-03-22,12800.0
1974-03-29,10475.0
1974-04-05,11275.0
1974-04-12,12725.0
1974-04-19,17575.0
1974-04-26,15775.0
1974-05-03,15825.0
1974-05-10,17375.0
1974-05-17,17150.0
1974-05-24,15050.0
1974-05-31,15125.0
1974-06-07,15700.0
1974-06-14,19500.0
1974-06-21,21250.0
1974-06-28,23450.0
1974-07-05,26025.0
1974-07-12,28550.0
1974-07-19,33725.0
1974-07-26,38300.0
1974-08-02,49750.0
1974-08-09,53825.0
1974-08-16,51050.0
1974-08-23,54250.0
1974-08-30,63675.0
1974-09-06,69175.0
1974-09-13,73125.0
1974-09-20,81950.0
1974-09-27,86625.0
1974-10-04,90650.0
1974-10-11,92300.0
1974-10-18,97175.0
1974-10-25,102850.0
1974-11-01,105275.0
1974-11-08,114360.0
1974-11-15,116775.0
1974-11-22,117375.0
1974-11-29,121275.0
1974-12-06,116625.0
1974-12-13,119200.0
1974-12-20,121600.0
1974-12-27,125900.0
1975-01-03,132675.0
1975-01-10,137675.0
1975-01-17,144725.0
1975-01-24,152975.0
1975-01-31,166825.0
1975-02-07,170225.0
1975-02-14,169225.0
