"Index","China Industrial Production Index"
2015-04-24,1901.07517744
2015-05-23,1910.17850894
2015-06-21,1919.62723645
2015-07-24,1930.18013203
2015-08-22,1939.57538142
2015-09-23,1949.16952101
2015-10-28,1958.19465445
2015-11-21,1967.1064113
2015-12-22,1976.99193173
2016-01-28,1986.45879193
2016-03-23,1995.18395912
2016-04-24,2006.15221774
2016-05-24,2015.9172651
2016-06-22,2025.72984433
2016-07-24,2035.90997168
2016-08-21,2045.81986641
2016-09-22,2056.26222356
2016-10-28,2066.43355641
2016-11-23,2076.65520192
2016-12-22,2087.09125018
